SemSort	ID	Section	PINTCard	Aligned	AlignedCard	Level	BT	BT_ja	DT	Desc	Desc_ja	Explanation	Explanation2	Example	SyntSort	element	UBLdatatype	XPath	selectors	Codelist	SyntaxCard	UBLOccurrence	CAR	AlignedRule	SharedRule	CodelistRule	PooledRule
																cac:DeliveryLocation		/ubl:Invoice/cac:Delivery/cac:DeliveryLocation			0..1						
	ibt-071	Shared			0..1	1	Deliver to location identifier		Identifier	An identifier for the location at which the goods and services are delivered.						cbc:ID		/ubl:Invoice/cac:Delivery/cac:DeliveryLocation/cbc:ID			0..1						
	ibt-071-1				0..1	1	Scheme identifier		Code	The identification scheme identifier of the Deliver to location identifier. If used, the identification scheme shall be chosen from the entries of the list published by the ISO/IEC 6523 maintenance agency.								/ubl:Invoice/cac:Delivery/cac:DeliveryLocation/cbc:ID/@schemeID			0..1						
	ibg-15	Shared			0..1	1	DELIVER TO ADDRESS			A group of business terms providing information about the address to which goods and services invoiced were or are delivered.						cac:Address		/ubl:Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address			0..1						
	ibt-075	Shared			0..1	1	Deliver to address line 1		Text	The main address line in an address.						cbc:StreetName		/ubl:Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:StreetName			0..1						
	ibt-076	Shared			0..1	1	Deliver to address line 2		Text	An additional address line in an address that can be used to give further details supplementing the main line.						cbc:AdditionalStreetName		/ubl:Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:AdditionalStreetName			0..1						
	ibt-077	Shared			0..1	1	Deliver to city		Text	The common name of the city, town or village, where the deliver to address is located.						cbc:CityName		/ubl:Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:CityName			0..1						
	ibt-078	Shared			0..1	1	Deliver to post code		Text	The identifier for an addressable group of properties according to the relevant postal service.						cbc:PostalZone		/ubl:Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:PostalZone			0..1						
	ibt-079	Shared			0..1	1	Deliver to country subdivision		Text	The subdivision of a country. Such as a region, a county, a state, a province etc..						cbc:CountrySubentity		/ubl:Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:CountrySubentity			0..1						
																cac:AddressLine		/ubl:Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cac:AddressLine			0..1						
	ibt-165	Shared			0..1	1	Deliver to address line 3		Text	An additional address line in an address that can be used to give further details supplementing the main line.						cbc:Line		/ubl:Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cac:AddressLine/cbc:Line			1..1						
																cac:Country		/ubl:Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cac:Country			1..1						
	ibt-080	Shared			1..1	1	Deliver to country code		Code	A code that identifies the country.						cbc:IdentificationCode		/ubl:Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cac:Country/cbc:IdentificationCode			1..1						
																cac:DeliveryParty		/ubl:Invoice/cac:Delivery/cac:DeliveryParty			0..1						
																cac:PartyName		/ubl:Invoice/cac:Delivery/cac:DeliveryParty/cac:PartyName			1..1						
	ibt-070	Shared			0..1	1	Deliver to party name		Text	The name of the party to which the goods and services are delivered.						cbc:Name		/ubl:Invoice/cac:Delivery/cac:DeliveryParty/cac:PartyName/cbc:Name			1..1						
	ibg-16	Aligned			0..n	0	PAYMENT INSTRUCTIONS			A group of business terms providing information about the payment.						cac:PaymentMeans		/ubl:Invoice/cac:PaymentMeans			0..n						
	ibt-178	Aligned			0..1	1	Payment Instructions ID		Identifier	An identifier for the payment instructions.						cbc:ID		/ubl:Invoice/cac:PaymentMeans/cbc:ID			0..1						
	ibt-081	Aligned			1..1	1	Payment means type code		Code	The means, expressed as code, for how a payment is expected to be or has been settled.						cbc:PaymentMeansCode		/ubl:Invoice/cac:PaymentMeans/cbc:PaymentMeansCode			1..1						
	ibt-082				0..1	1	Payment means text		Text	A textual description of the means/methods by which the payment is expected to be or has been settled.								/ubl:Invoice/cac:PaymentMeans/cbc:PaymentMeansCode/@name			0..1						
	ibt-083	Aligned			0..n	1	Remittance information		Text	A textual value used for payment routing or to establish a link between the payment and the Invoice.						cbc:PaymentID		/ubl:Invoice/cac:PaymentMeans/cbc:PaymentID			0..n						
	ibt-083-1				0..1	1	Scheme identifier		Code	The identification of the identification scheme. As example ABA								/ubl:Invoice/cac:PaymentMeans/cbc:PaymentID/@schemeID			0..1						
	ibg-18	Shared			0..1	1	PAYMENT CARD INFORMATION			A group of business terms providing information about card used for payment contemporaneous with invoice issuance.						cac:CardAccount		/ubl:Invoice/cac:PaymentMeans/cac:CardAccount			0..1						
	ibt-087	Shared			1..1	1	Payment card primary account number		Text	The Primary Account Number (PAN) of the card used for payment.						cbc:PrimaryAccountNumberID		/ubl:Invoice/cac:PaymentMeans/cac:CardAccount/cbc:PrimaryAccountNumberID			1..1						
																cbc:NetworkID		/ubl:Invoice/cac:PaymentMeans/cac:CardAccount/cbc:NetworkID			1..1						
	ibt-088	Shared			0..1	1	Payment card holder name		Text	The name of the payment card holder.						cbc:HolderName		/ubl:Invoice/cac:PaymentMeans/cac:CardAccount/cbc:HolderName			0..1						
	ibg-17	Aligned			0..1	1	CREDIT TRANSFER			A group of business terms to specify credit transfer payments.						cac:PayeeFinancialAccount		/ubl:Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount			0..1						
	ibt-084	Shared			1..1	1	Payment account identifier		Identifier	A unique identifier of the financial payment account, at a payment service provider, to which payment should be made.						cbc:ID		/ubl:Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cbc:ID			1..1						
	ibt-084-1				0..1	1	Scheme identifier		Code	The identification of the identification scheme. As example IBAN								/ubl:Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cbc:ID/@schemeID			0..1						
	ibt-085	Shared			0..1	1	Payment account name		Text	The name of the payment account, at a payment service provider, to which payment should be made.						cbc:Name		/ubl:Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cbc:Name			0..1						
																cac:FinancialInstitutionBranch		/ubl:Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch			0..1						
	ibt-086	Shared			0..1	1	Payment service provider identifier		Identifier	An identifier for the payment service provider where a payment account is located.						cbc:ID		/ubl:Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cbc:ID			1..1						
	ibg-34				0..1	1	FINANCIAL INSTITUTION ADDRESS			The address of the financial institution or its branch that holds the payment account.						cac:Address		/ubl:Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cac:Address			0..1						
	ibt-169	Aligned			0..1	1	Account address line 1		Text	The main address line in an address.						cbc:StreetName		/ubl:Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cac:Address/cbc:StreetName			0..1						
	ibt-170	Aligned			0..1	1	Account address line 2		Text	An additional address line in an address that can be used to give further details supplementing the main line.						cbc:AdditionalStreetName		/ubl:Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cac:Address/cbc:AdditionalStreetName			0..1						
	ibt-171	Aligned			0..1	1	Account city		Text	The common name of the city, town or village, where the account address is located.						cbc:CityName		/ubl:Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cac:Address/cbc:CityName			0..1						
	ibt-172	Aligned			0..1	1	Account post code		Text	The identifier for an addressable group of properties according to the relevant postal service.						cbc:PostalZone		/ubl:Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cac:Address/cbc:PostalZone			0..1						
	ibt-173	Aligned			0..1	1	Account country subdivision		Text	The subdivision of a country. Such as a region, a county, a state, a province etc..						cbc:CountrySubentity		/ubl:Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cac:Address/cbc:CountrySubentity			0..1						
																cac:AddressLine		/ubl:Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cac:Address/cac:AddressLine			0..1						
	ibt-174	Aligned			0..1	1	Account address line 3		Text	An additional address line in an address that can be used to give further details supplementing the main line.						cbc:Line		/ubl:Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cac:Address/cac:AddressLine/cbc:Line			1..1						
																cac:Country		/ubl:Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cac:Address/cac:Country			0..1						
	ibt-175	Aligned			0..1	1	Account country code		Code	A code that identifies the country.						cbc:IdentificationCode		/ubl:Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cac:Address/cac:Country/cbc:IdentificationCode			1..1						
	ibg-19	Aligned			0..1	1	DIRECT DEBIT			A group of business terms to specify a direct debit.						cac:PaymentMandate		/ubl:Invoice/cac:PaymentMeans/cac:PaymentMandate			0..1						
	ibt-089	Shared			0..1	1	Mandate reference identifier		Identifier	Unique identifier assigned by the Payee for referencing the direct debit mandate.						cbc:ID		/ubl:Invoice/cac:PaymentMeans/cac:PaymentMandate/cbc:ID			0..1						
																cac:PayerFinancialAccount		/ubl:Invoice/cac:PaymentMeans/cac:PaymentMandate/cac:PayerFinancialAccount			0..1						
	ibt-091	Shared			0..1	1	Debited account identifier		Identifier	The account to be debited by the direct debit.						cbc:ID		/ubl:Invoice/cac:PaymentMeans/cac:PaymentMandate/cac:PayerFinancialAccount/cbc:ID			1..1						
	ibg-33	Aligned			0..n	0	INVOICE TERMS			Information about the terms that apply to the settlement of the invoice amount.						cac:PaymentTerms		/ubl:Invoice/cac:PaymentTerms			0..n						
	ibt-187	Aligned			0..1	1	Terms payment instructions ID		Identifier	The payment instructions that apply to these payment terms.						cbc:PaymentMeansID		/ubl:Invoice/cac:PaymentTerms/cbc:PaymentMeansID			0..1						
	ibt-020	Shared			0..1	1	Payment terms		Text	A textual description of the payment terms that apply to the amount due for payment (Including description of possible penalties).						cbc:Note		/ubl:Invoice/cac:PaymentTerms/cbc:Note			0..1						
	ibt-176	Aligned			0..1	1	Terms amount		Amount	The payment amount that these terms apply to. When relevant, the amount includes tax.						cbc:Amount		/ubl:Invoice/cac:PaymentTerms/cbc:Amount			0..1						
	ibt-177	Aligned			0..1	1	Terms installment due date		Date	The date before end of which the terms amount shall be settled.						cbc:InstallmentDueDate		/ubl:Invoice/cac:PaymentTerms/cbc:InstallmentDueDate			0..1						
	ibg-35	Aligned			0..n	0	Paid amounts			Breakdown of the paid amount deducted from the amount due.						cac:PrepaidPayment		/ubl:Invoice/cac:PrepaidPayment			0..n						
	ibt-179	Aligned			0..1	1	Payment identifier		Identifier	An identifier that references the payment, such as bank transfer identifier.						cbc:ID		/ubl:Invoice/cac:PrepaidPayment/cbc:ID			0..1						
	ibt-180	Aligned			1..1	1	Paid amount		Amount	The amount of the payment in the invoice currency.						cbc:PaidAmount		/ubl:Invoice/cac:PrepaidPayment/cbc:PaidAmount			1..1						
	ibt-181	Aligned			0..1	1	The date when the paid amount is debited to the invoice.		Date	The date when the prepaid amount was received by the seller.						cbc:ReceivedDate		/ubl:Invoice/cac:PrepaidPayment/cbc:ReceivedDate			0..1						
	ibt-182	Aligned			0..1	1	Payment type		Code	The type of the the payment.						cbc:InstructionID		/ubl:Invoice/cac:PrepaidPayment/cbc:InstructionID			0..1						
	ibg-20	Shared			0..n	0	DOCUMENT LEVEL ALLOWANCES			A group of business terms providing information about allowances applicable to the Invoice as a whole.						cac:AllowanceCharge		/ubl:Invoice/cac:AllowanceCharge	[cbc:ChargeIndicator = false]		0..n						
																cbc:ChargeIndicator		/ubl:Invoice/cac:AllowanceCharge[cbc:ChargeIndicator = false]/cbc:ChargeIndicator			1..1						
	ibt-098	Shared			0..1	1	Document level allowance reason code		Code	The reason for the document level allowance, expressed as a code.						cbc:AllowanceChargeReasonCode		/ubl:Invoice/cac:AllowanceCharge/cbc:AllowanceChargeReasonCode			0..1						
	ibt-097	Shared			0..1	1	Document level allowance reason		Text	The reason for the document level allowance, expressed as text.						cbc:AllowanceChargeReason		/ubl:Invoice/cac:AllowanceCharge/cbc:AllowanceChargeReason			0..1						
	ibt-094	Shared			0..1	1	Document level allowance percentage		Percentage	The percentage that may be used, in conjunction with the document level allowance base amount, to calculate the document level allowance amount.						cbc:MultiplierFactorNumeric		/ubl:Invoice/cac:AllowanceCharge/cbc:MultiplierFactorNumeric			0..1						
	ibt-092	Shared			1..1	1	Document level allowance amount		Amount	The amount of an allowance, without TAX.						cbc:Amount		/ubl:Invoice/cac:AllowanceCharge/cbc:Amount			1..1						
																		/ubl:Invoice/cac:AllowanceCharge[cbc:ChargeIndicator = false]/cbc:Amount/@currencyID			1..1						
	ibt-093	Shared			0..1	1	Document level allowance base amount		Amount	The base amount that may be used, in conjunction with the document level allowance percentage, to calculate the document level allowance amount.						cbc:BaseAmount		/ubl:Invoice/cac:AllowanceCharge/cbc:BaseAmount			0..1						
																		/ubl:Invoice/cac:AllowanceCharge[cbc:ChargeIndicator = false]/cbc:BaseAmount/@currencyID			1..1						
																cac:TaxCategory		/ubl:Invoice/cac:AllowanceCharge[cbc:ChargeIndicator = false]/cac:TaxCategory			1..1						
	ibt-095	Aligned			1..1	1	Document level allowance TAX category code		Code	A coded identification of what TAX category applies to the document level allowance.						cbc:ID		/ubl:Invoice/cac:AllowanceCharge/cac:TaxCategory/cbc:ID			1..1						
	ibt-096	Aligned			0..1	1	Document level allowance TAX rate		Percentage	The TAX rate, represented as percentage that applies to the document level allowance.						cbc:Percent		/ubl:Invoice/cac:AllowanceCharge/cac:TaxCategory/cbc:Percent			0..1						
																cac:TaxScheme		/ubl:Invoice/cac:AllowanceCharge[cbc:ChargeIndicator = false]/cac:TaxCategory/cac:TaxScheme			1..1						
	ibt-095-1	Aligned			1..1	1	Tax Scheme		Code	A code indicating the type of tax						cbc:ID		/ubl:Invoice/cac:AllowanceCharge/cac:TaxCategory/cac:TaxScheme/cbc:ID			1..1						
	ibg-21	Shared			0..n	0	DOCUMENT LEVEL CHARGES			A group of business terms providing information about charges and taxes other than TAX, applicable to the Invoice as a whole.						cac:AllowanceCharge		/ubl:Invoice/cac:AllowanceCharge	[cbc:ChargeIndicator = true]		0..n						
																cbc:ChargeIndicator		/ubl:Invoice/cac:AllowanceCharge[cbc:ChargeIndicator = true]/cbc:ChargeIndicator			1..1						
	ibt-105	Shared			0..1	1	Document level charge reason code		Code	The reason for the document level charge, expressed as a code.						cbc:AllowanceChargeReasonCode		/ubl:Invoice/cac:AllowanceCharge/cbc:AllowanceChargeReasonCode			0..1						
	ibt-104	Shared			0..1	1	Document level charge reason		Text	The reason for the document level charge, expressed as text.						cbc:AllowanceChargeReason		/ubl:Invoice/cac:AllowanceCharge/cbc:AllowanceChargeReason			0..1						
	ibt-101	Shared			0..1	1	Document level charge percentage		Percentage	The percentage that may be used, in conjunction with the document level charge base amount, to calculate the document level charge amount.						cbc:MultiplierFactorNumeric		/ubl:Invoice/cac:AllowanceCharge/cbc:MultiplierFactorNumeric			0..1						
	ibt-099	Shared			1..1	1	Document level charge amount		Amount	The amount of a charge, without TAX.						cbc:Amount		/ubl:Invoice/cac:AllowanceCharge/cbc:Amount			1..1						
																		/ubl:Invoice/cac:AllowanceCharge[cbc:ChargeIndicator = true]/cbc:Amount/@currencyID			1..1						
	ibt-100	Shared			0..1	1	Document level charge base amount		Amount	The base amount that may be used, in conjunction with the document level charge percentage, to calculate the document level charge amount.						cbc:BaseAmount		/ubl:Invoice/cac:AllowanceCharge/cbc:BaseAmount			0..1						
																		/ubl:Invoice/cac:AllowanceCharge[cbc:ChargeIndicator = true]/cbc:BaseAmount/@currencyID			1..1						
																cac:TaxCategory		/ubl:Invoice/cac:AllowanceCharge[cbc:ChargeIndicator = true]/cac:TaxCategory			1..1						
	ibt-102	Aligned			1..1	1	Document level charge TAX category code		Code	A coded identification of what TAX category applies to the document level charge.						cbc:ID		/ubl:Invoice/cac:AllowanceCharge/cac:TaxCategory/cbc:ID			1..1						
	ibt-103	Aligned			0..1	1	Document level charge TAX rate		Percentage	The TAX rate, represented as percentage that applies to the document level charge.						cbc:Percent		/ubl:Invoice/cac:AllowanceCharge/cac:TaxCategory/cbc:Percent			0..1						
																cac:TaxScheme		/ubl:Invoice/cac:AllowanceCharge[cbc:ChargeIndicator = true]/cac:TaxCategory/cac:TaxScheme			1..1						
	ibt-102-1	Aligned			1..1	1	Tax Scheme		Code	A code indicating the type of tax						cbc:ID		/ubl:Invoice/cac:AllowanceCharge/cac:TaxCategory/cac:TaxScheme/cbc:ID			1..1						
																cac:TaxTotal		/ubl:Invoice/cac:TaxTotal[cac:TaxTotal/TaxAmount/@currency = cbc:DocumentCurrencyCode]	[cac:TaxTotal/TaxAmount/@currency = cbc:DocumentCurrencyCode]		1..1						
	ibt-110	Shared			1..1	1	Invoice total TAX amount		Amount	The total TAX amount for the Invoice.						cbc:TaxAmount		/ubl:Invoice/cac:TaxTotal/cbc:TaxAmount			1..1						
																		/ubl:Invoice/cac:TaxTotal[cac:TaxTotal/TaxAmount/@currency = cbc:DocumentCurrencyCode]/cbc:TaxAmount/@currencyID			1..1						
	ibg-23	Aligned			1..n	0	TAX BREAKDOWN			A group of business terms providing information about TAX breakdown by different categories, rates and exemption reasons						cac:TaxSubtotal		/ubl:Invoice/cac:TaxTotal/cac:TaxSubtotal			1..n						
	ibt-116	Aligned			1..1	1	TAX category taxable amount		Amount	Sum of all taxable amounts subject to a specific TAX category code and TAX category rate (if the TAX category rate is applicable).						cbc:TaxableAmount		/ubl:Invoice/cac:TaxTotal/cac:TaxSubtotal/cbc:TaxableAmount			1..1						
																		/ubl:Invoice/cac:TaxTotal[cac:TaxTotal/TaxAmount/@currency = cbc:DocumentCurrencyCode]/cac:TaxSubtotal/cbc:TaxableAmount/@currencyID			1..1						
	ibt-117	Aligned			1..1	1	TAX category tax amount		Amount	The total TAX amount for a given TAX category.						cbc:TaxAmount		/ubl:Invoice/cac:TaxTotal/cac:TaxSubtotal/cbc:TaxAmount			1..1						
																		/ubl:Invoice/cac:TaxTotal[cac:TaxTotal/TaxAmount/@currency = cbc:DocumentCurrencyCode]/cac:TaxSubtotal/cbc:TaxAmount/@currencyID			1..1						
																cac:TaxCategory		/ubl:Invoice/cac:TaxTotal[cac:TaxTotal/TaxAmount/@currency = cbc:DocumentCurrencyCode]/cac:TaxSubtotal/cac:TaxCategory			1..1						
	ibt-118	Aligned			1..1	1	TAX category code		Code	Coded identification of a TAX category.						cbc:ID		/ubl:Invoice/cac:TaxTotal/cac:TaxSubtotal/cac:TaxCategory/cbc:ID			1..1						
	ibt-119	Aligned			0..1	1	TAX category rate		Percentage	The TAX rate, represented as percentage that applies for the relevant TAX category.						cbc:Percent		/ubl:Invoice/cac:TaxTotal/cac:TaxSubtotal/cac:TaxCategory/cbc:Percent			0..1						
																cac:TaxScheme		/ubl:Invoice/cac:TaxTotal[cac:TaxTotal/TaxAmount/@currency = cbc:DocumentCurrencyCode]/cac:TaxSubtotal/cac:TaxCategory/cac:TaxScheme			1..1						
																cbc:ID		/ubl:Invoice/cac:TaxTotal[cac:TaxTotal/TaxAmount/@currency = cbc:DocumentCurrencyCode]/cac:TaxSubtotal/cac:TaxCategory/cac:TaxScheme/cbc:ID			1..1						
	ibg-37	Aligned			0..1	0	DOCUMENT TOTALS IN TAX ACCOUNTING CURRENCY			A group of business terms providing the monetary totals for the Invoice in the tax accounting currency.						cac:TaxTotal		/ubl:Invoice/cac:TaxTotal	[cac:TaxTotal/TaxAmount/@currency = cbc:TaxCurrencyCode]		0..1						
	ibt-111	Aligned			0..1	1	Invoice total TAX amount in tax accounting currency		Amount	The TAX total amount expressed in the accounting currency accepted or required in the country of the Seller.						cbc:TaxAmount		/ubl:Invoice/cac:TaxTotal/cbc:TaxAmount			0..1						
																		/ubl:Invoice/cac:TaxTotal[cac:TaxTotal/TaxAmount/@currency = cbc:TaxCurrencyCode]/cbc:TaxAmount/@currencyID			1..1						
	ibg-38	Aligned			1..n	1	TAX BREAKDOWN IN ACCOUNTING CURRENCY			A group of business terms providing information about TAX breakdown by different categories, rates and exemption reasons in the invoice accounting currency.						cac:TaxSubtotal		/ubl:Invoice/cac:TaxTotal/cac:TaxSubtotal			1..n						
	ibt-190	Aligned			0..1	1	TAX category tax amount in accounting currency		Amount	The total TAX amount for a given TAX category in the invoice accounting currency.						cbc:TaxAmount		/ubl:Invoice/cac:TaxTotal/cac:TaxSubtotal/cbc:TaxAmount			0..1						
																		/ubl:Invoice/cac:TaxTotal[cac:TaxTotal/TaxAmount/@currency = cbc:TaxCurrencyCode]/cac:TaxSubtotal/cbc:TaxAmount/@currencyID			1..1						
																cac:TaxCategory		/ubl:Invoice/cac:TaxTotal[cac:TaxTotal/TaxAmount/@currency = cbc:TaxCurrencyCode]/cac:TaxSubtotal/cac:TaxCategory			0..1						
	ibt-192	Aligned			1..1	1	TAX category code for tax category tax amount in accounting currency		Code	Coded identification of a TAX category in the invoice accounting currency.						cbc:ID		/ubl:Invoice/cac:TaxTotal/cac:TaxSubtotal/cac:TaxCategory/cbc:ID			0..1						
	ibt-193	Aligned			0..1	1	TAX category rate for tax category tax amount in accounting currency		Percentage	The TAX rate, represented as percentage that applies for the relevant TAX category in the invoice accounting currency.						cbc:Percent		/ubl:Invoice/cac:TaxTotal/cac:TaxSubtotal/cac:TaxCategory/cbc:Percent			0..1						
	ibg-22	Shared			1..1	0	DOCUMENT TOTALS			A group of business terms providing the monetary totals for the Invoice.						cac:LegalMonetaryTotal		/ubl:Invoice/cac:LegalMonetaryTotal			1..1						
	ibt-106	Shared			1..1	1	Sum of Invoice line net amount		Amount	Sum of all Invoice line net amounts in the Invoice.						cbc:LineExtensionAmount		/ubl:Invoice/cac:LegalMonetaryTotal/cbc:LineExtensionAmount			1..1						
																		/ubl:Invoice/cac:LegalMonetaryTotal/cbc:LineExtensionAmount/@currencyID			1..1						
	ibt-109	Shared			1..1	1	Invoice total amount without TAX		Amount	The total amount of the Invoice without TAX.						cbc:TaxExclusiveAmount		/ubl:Invoice/cac:LegalMonetaryTotal/cbc:TaxExclusiveAmount			1..1						
																		/ubl:Invoice/cac:LegalMonetaryTotal/cbc:TaxExclusiveAmount/@currencyID			1..1						
	ibt-112	Shared			1..1	1	Invoice total amount with TAX		Amount	The total amount of the Invoice with tax.						cbc:TaxInclusiveAmount		/ubl:Invoice/cac:LegalMonetaryTotal/cbc:TaxInclusiveAmount			1..1						
																		/ubl:Invoice/cac:LegalMonetaryTotal/cbc:TaxInclusiveAmount/@currencyID			1..1						
	ibt-107	Shared			0..1	1	Sum of allowances on document level		Amount	Sum of all allowances on document level in the Invoice.						cbc:AllowanceTotalAmount		/ubl:Invoice/cac:LegalMonetaryTotal/cbc:AllowanceTotalAmount			0..1						
																		/ubl:Invoice/cac:LegalMonetaryTotal/cbc:AllowanceTotalAmount/@currencyID			1..1						
	ibt-108	Shared			0..1	1	Sum of charges on document level		Amount	Sum of all charges on document level in the Invoice.						cbc:ChargeTotalAmount		/ubl:Invoice/cac:LegalMonetaryTotal/cbc:ChargeTotalAmount			0..1						
																		/ubl:Invoice/cac:LegalMonetaryTotal/cbc:ChargeTotalAmount/@currencyID			1..1						
	ibt-113	Shared			0..1	1	Paid amount		Amount	The sum of amounts which have been paid in advance.						cbc:PrepaidAmount		/ubl:Invoice/cac:LegalMonetaryTotal/cbc:PrepaidAmount			0..1						
																		/ubl:Invoice/cac:LegalMonetaryTotal/cbc:PrepaidAmount/@currencyID			1..1						
	ibt-114	Shared			0..1	1	Rounding amount		Amount	The amount to be added to the invoice total to round the amount to be paid.						cbc:PayableRoundingAmount		/ubl:Invoice/cac:LegalMonetaryTotal/cbc:PayableRoundingAmount			0..1						
																		/ubl:Invoice/cac:LegalMonetaryTotal/cbc:PayableRoundingAmount/@currencyID			1..1						
	ibt-115	Shared			1..1	1	Amount due for payment		Amount	The outstanding amount that is requested to be paid.						cbc:PayableAmount		/ubl:Invoice/cac:LegalMonetaryTotal/cbc:PayableAmount			1..1						
																		/ubl:Invoice/cac:LegalMonetaryTotal/cbc:PayableAmount/@currencyID			1..1						
	ibg-25	Shared			1..n	0	INVOICE LINE			A group of business terms providing information on individual Invoice lines.						cac:InvoiceLine		/ubl:Invoice/cac:InvoiceLine			1..n						
	ibt-126	Shared			1..1	1	Invoice line identifier		Identifier	A unique identifier for the individual line within the Invoice.						cbc:ID		/ubl:Invoice/cac:InvoiceLine/cbc:ID			1..1						
	ibt-127	Shared			0..1	1	Invoice line note		Text	A textual note that gives unstructured information that is relevant to the Invoice line.						cbc:Note		/ubl:Invoice/cac:InvoiceLine/cbc:Note			0..1						
	ibt-129	Shared			1..1	1	Invoiced quantity		Quantity	The quantity of items (goods or services) that is charged in the Invoice line.						cbc:InvoicedQuantity		/ubl:Invoice/cac:InvoiceLine/cbc:InvoicedQuantity			1..1						
	ibt-130				1..1	1	Invoiced quantity unit of measure code		Code	The unit of measure that applies to the invoiced quantity.								/ubl:Invoice/cac:InvoiceLine/cbc:InvoicedQuantity/@unitCode			1..1						
	ibt-131	Shared			1..1	1	Invoice line net amount		Amount	The total amount of the Invoice line (before tax).						cbc:LineExtensionAmount		/ubl:Invoice/cac:InvoiceLine/cbc:LineExtensionAmount			1..1						
																		/ubl:Invoice/cac:InvoiceLine/cbc:LineExtensionAmount/@currencyID			1..1						
	ibt-133	Shared			0..1	1	Invoice line Buyer accounting reference		Text	A textual value that specifies where to book the relevant data into the Buyer’s financial accounts.						cbc:AccountingCost		/ubl:Invoice/cac:InvoiceLine/cbc:AccountingCost			0..1						
	ibg-26	Shared			0..1	1	INVOICE LINE PERIOD			A group of business terms providing information about the period relevant for the Invoice line.						cac:InvoicePeriod		/ubl:Invoice/cac:InvoiceLine/cac:InvoicePeriod			0..1						
	ibt-134	Shared			0..1	1	Invoice line period start date		Date	The date when the Invoice period for this Invoice line starts.						cbc:StartDate		/ubl:Invoice/cac:InvoiceLine/cac:InvoicePeriod/cbc:StartDate			0..1						
	ibt-135	Shared			0..1	1	Invoice line period end date		Date	The date when the Invoice period for this Invoice line ends.						cbc:EndDate		/ubl:Invoice/cac:InvoiceLine/cac:InvoicePeriod/cbc:EndDate			0..1						
																cac:OrderLineReference		/ubl:Invoice/cac:InvoiceLine/cac:OrderLineReference			0..1						
	ibt-132	Shared			0..1	1	Referenced purchase order line reference		Document Reference	An identifier for a referenced line within a purchase order, issued by the Buyer.						cbc:LineID		/ubl:Invoice/cac:InvoiceLine/cac:OrderLineReference/cbc:LineID			1..1						
																cac:OrderReference		/ubl:Invoice/cac:InvoiceLine/cac:OrderLineReference/cac:OrderReference			0..1						
	ibt-183	Aligned			0..1	1	Purchase order reference		Document Reference	An identifier for a referenced purchase order, issued by the Buyer.						cbc:ID		/ubl:Invoice/cac:InvoiceLine/cac:OrderLineReference/cac:OrderReference/cbc:ID			1..1						
																cac:DespatchLineReference		/ubl:Invoice/cac:InvoiceLine/cac:DespatchLineReference			0..1						
																cbc:LineID		/ubl:Invoice/cac:InvoiceLine/cac:DespatchLineReference/cbc:LineID			1..1						
																cac:DocumentReference		/ubl:Invoice/cac:InvoiceLine/cac:DespatchLineReference/cac:DocumentReference			0..1						
	ibt-184	Aligned			0..1	1	Despatch advice reference		Document Reference	An identifier for a referenced despatch advice.						cbc:ID		/ubl:Invoice/cac:InvoiceLine/cac:DespatchLineReference/cac:DocumentReference/cbc:ID			1..1						
	ibg-36	Aligned			0..1	1	LINE DOCUMENT REFERENCE			An identifier for an object on which the invoice line is based, given by the Seller.						cac:DocumentReference		/ubl:Invoice/cac:InvoiceLine/cac:DocumentReference	[cbc:DocumentTypeCode != 130]		0..1						
