SemSort	ID	Section	PINT Cardinality	Aligned	Aligned Cardinality	Level	BT	BT_ja	DT	Desc	Desc_ja	Explanation	Explanation\ja	Example Value (値の例)	Synt Sort	element	UBLdatatype	UBL syntax binding XPath	selectors	Code list	UBL Occurrence	CardinalityAlignment
1540	ibt-041	Shared	0..1		0..1	3	Seller contact point	売り手連絡先	Text	A contact point for a legal entity or person.	売り手の連絡先の個人の、文字で表現された名前（部門名を含む）。			法人営業2課	1820	cbc:Name	udt:NameType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact/cbc:Name			0..1	
1550	ibt-042	Shared	0..1		0..1	3	Seller contact telephone number	売り手連絡先電話番号	Text	A phone number for the contact point.	売り手の連絡先電話番号。			03-3xxx-1234	1830	cbc:Telephone	udt:TextType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact/cbc:Telephone			0..1	
1560	ibt-043	Shared	0..1		0..1	3	Seller contact email address	売り手連絡先電子メールアドレス	Text	An e-mail address for the contact point.	売り手の連絡先電子メールアドレス。			houjineigyou2@〇〇co.jp	1840	cbc:ElectronicMail	udt:TextType	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact/cbc:ElectronicMail			0..1	
1570	ibg-07	Shared	1..1		1..1	1	BUYER	買い手		A group of business terms providing information about the Buyer.	買い手に係る情報を提供するビジネス用語のグループ。				1850	cac:AccountingCustomerParty	cac:CustomerPartyType	/Invoice/cac:AccountingCustomerParty			1..1	
															1860	cac:Party	cac:PartyType	/Invoice/cac:AccountingCustomerParty/cac:Party			0..1	
1650	ibt-049	Shared	1..1		1..1	2	Buyer electronic address	買い手電子アドレス	Identifier	Identifies the Buyer’s electronic address to which the invoice is delivered.	請求書の送信先となる買い手の電子アドレスを識別する。			7700110005900	1870	cbc:EndpointID	udt:IdentifierType	/Invoice/cac:AccountingCustomerParty/cac:Party/cbc:EndpointID			0..1	CAR-2
1660	ibt-049-1	Shared	1..1		1..1	3	Scheme identifier	スキーマID	ー	The scheme identifier shall be chosen from a list to be maintained by the Connecting Europe Facility.	スキーマIDは、Connecting Europe Facility (CEF) が管理するリストから選択しなければならない。	"Request for Change has been submitted to OpenPEPPOL to add 0147 Standard Company Code	 0170 Teikoku Company Code and 0188 Corporate Number of The Social Security and Tax Number System to EAS list. "	"0147 Standard Company Code (JIPDECが発番/管理しているコード)	 0170 Teikoku Company Code (帝国データバンクの企業コード)	 0188 Corporate Number of The Social Security and Tax Number System (社会保障・税制度の法人番号) をEASリストに追加してもらうよう、変更リクエストをOpenPEPPOLに提出済。"	0188	1880	@schemeID	xsd:normalizedString	/Invoice/cac:AccountingCustomerParty/cac:Party/cbc:EndpointID/@schemeID		eas	0..1	CAR-2
															1890	cac:PartyIdentification	cac:PartyIdentificationType	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyIdentification			0..n	CAR-3
1600	ibt-046	Shared	0..1		0..1	2	Buyer identifier	買い手ID	Identifier	An identifier of the Buyer.	買い手を表すID。			789KH512	1900	cbc:ID	udt:IdentifierType	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyIdentification/cbc:ID			1..1	CAR-3
1610	ibt-046-1	Shared	0..1		0..1	3	Scheme identifier	スキーマID	ー	"If used	 the identification scheme shall be chosen from the entries of the list published by the ISO/IEC 6523 maintenance agency."	使用する場合、識別スキーマは、ISO/IEC6523保守機関として公開されているリストから選択しなければならない。	"For example	 0147 Standard Company Code. Partner identification code which is registered with JIPDEC/ECPC. Issuing agency: JIPDEC	 Japan. It consists of company identification number (6 digit) + sub-number (6 digit). Company identification number (6 digit) is issued by JIPDEC	 on the other hand	 sub-number (6 digit)	 which is for identifying branch or division inside company	 is issued and managed by each company."	例えば、0147 Standard Company Code は、JIPDEC が発番する標準企業コードであるが、企業識別コード6桁＋枝番6桁の合計12桁で構成されており、企業識別コード6桁は　JIPDEC が発番するが、枝番6桁は、支店や部署の識別のため、各企業が採番・管理を行うものであり、JIPDECのコードを用いて、支店や部署まで特定することが可能である。		1910	@schemeID	xsd:normalizedString	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyIdentification/cbc:ID/@schemeID		ICD	0..1	
															1920	cac:PartyName	cac:PartyNameType	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyName			0..n	CAR-3
1590	ibt-045	Shared	0..1		0..1	2	Buyer trading name	買い手商号	Text	"A name by which the Buyer is known	 other than Buyer name (also known as Business name)."	買い手名称以外で、知られているビジネス上の名称。				1930	cbc:Name	udt:NameType	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyName/cbc:Name			1..1	CAR-3
1670	ibg-08	Shared	1..1		1..1	2	BUYER POSTAL ADDRESS	買い手住所		A group of business terms providing information about the postal address for the Buyer.	買い手の住所に関する情報を提供するビジネス用語のグループ。				1940	cac:PostalAddress	cac:AddressType	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress			0..1	CAR-2
1680	ibt-050	Shared	0..1		0..1	3	Buyer address line 1	買い手住所欄1	Text	The main address line in an address.	買い手の住所の主な記載欄。			北区	1950	cbc:StreetName	udt:NameType	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:StreetName			0..1	
1690	ibt-051	Shared	0..1		0..1	3	Buyer address line 2	買い手住所欄2	Text	An additional address line in an address that can be used to give further details supplementing the main line.	買い手の住所の主な記載内容に加えて詳細な情報のために使用する追加記載欄。			北十二条西76-X	1960	cbc:AdditionalStreetName	udt:NameType	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:AdditionalStreetName			0..1	
1710	ibt-052	Shared	0..1		0..1	3	Buyer city	買い手住所 市区町村	Text	"The common name of the city	 town or village	 where the Buyer’s address is located."	買い手が所在する市、町、村の通称。			札幌市	1970	cbc:CityName	udt:NameType	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:CityName			0..1	
1720	ibt-053	Shared	0..1		0..1	3	Buyer post code	買い手郵便番号	Text	The identifier for an addressable group of properties according to the relevant postal service.	買い手の住所の郵便番号。			001-0012	1980	cbc:PostalZone	udt:TextType	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:PostalZone			0..1	
1730	ibt-054	Shared	0..1		0..1	3	Buyer country subdivision	買い手住所 都道府県	Text	The subdivision of a country.	買い手の住所の地方区分。		日本の場合は、都道府県。	北海道	1990	cbc:CountrySubentity	udt:TextType	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:CountrySubentity			0..1	
															2000	cac:AddressLine	cac:AddressLineType	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cac:AddressLine			0..n	CAR-3
1700	ibt-163	Shared	0..1		0..1	3	Buyer address line 3	買い手住所欄3	Text	An additional address line in an address that can be used to give further details supplementing the main line.	買い手の住所の上記の記載内容に加えてより詳細な情報のために使用する追加記載欄。				2010	cbc:Line	udt:TextType	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cac:AddressLine/cbc:Line			1..1	CAR-3
															2020	cac:Country	cac:CountryType	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cac:Country			0..1	CAR-2
1740	ibt-055	Shared	1..1		1..1	3	Buyer country code	買い手国コード	Code	A code that identifies the country.	買い手の住所の国コード。		ISO 3166で規定されたアルファベット2文字のコード。	JP	2030	cbc:IdentificationCode	udt:CodeType	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cac:Country/cbc:IdentificationCode		ISO3166	0..1	CAR-2
															2040	cac:PartyTaxScheme	cac:PartyTaxSchemeType	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyTaxScheme			0..n	
1640	ibt-048	Aligned	0..1		0..1	2	Buyer TAX identifier	買い手税ID	Identifier	The Buyer’s TAX identifier (also known as Buyer TAX identification number).	買い手の税ID番号。日本の場合は、適格請求書発行事業者登録番号。		T+法人番号（国税庁）。		2050	cbc:CompanyID	udt:IdentifierType	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyTaxScheme/cbc:CompanyID			0..1	
															2055	@schemeID	xsd:normalizedString	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyTaxScheme/cbc:CompanyID/@schemeID			0..1	
															2060	cac:TaxScheme	cac:TaxSchemeType	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyTaxScheme/cac:TaxScheme			1..1	
															2070	cbc:ID	udt:IdentifierType	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyTaxScheme/cac:TaxScheme/cbc:ID			0..1	
															2080	cac:PartyLegalEntity	cac:PartyLegalEntityType	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity			0..n	CAR-2 CAR-3
1580	ibt-044	Shared	1..1		1..1	2	Buyer name	買い手名称	Text	The full name of the Buyer.	買い手の名称。			株式会社△山物産	2090	cbc:RegistrationName	udt:NameType	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity/cbc:RegistrationName			0..1	CAR-2 CAR-3
1620	ibt-047	Shared	0..1		0..1	2	Buyer legal registration identifier	買い手法人ID	Identifier	An identifier issued by an official registrar that identifies the Buyer as a legal entity or person.	買い手を表す法人ID。			654321:321:147:1	2100	cbc:CompanyID	udt:IdentifierType	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID			0..1	
1630	ibt-047-1	Shared	0..1		0..1	3	Scheme identifier	スキーマID	ー	"If used	 the identification scheme shall be chosen from the entries of the list published by the ISO/IEC 6523 maintenance agency."	使用する場合、識別スキーマは、ISO/IEC6523保守機関として公開されているリストから選択しなければならない。	"For example	 0147 Standard Company Code. Partner identification code which is registered with JIPDEC/ECPC. Issuing agency: JIPDEC	 Japan. It consists of company identification number (6 digit) + sub-number (6 digit). Company identification number (6 digit) is issued by JIPDEC	 on the other hand	 sub-number (6 digit)	 which is for identifying branch or division inside company	 is issued and managed by each company."	例えば、0147 Standard Company Code は、JIPDEC が発番する標準企業コードであるが、企業識別コード6桁＋枝番6桁の合計12桁で構成されており、企業識別コード6桁は　JIPDEC が発番するが、枝番6桁は、支店や部署の識別のため、各企業が採番・管理を行うものであり、JIPDECのコードを用いて、支店や部署まで特定することが可能である。	0147	2110	@schemeID	xsd:normalizedString	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID/@schemeID		ICD	0..1	
1750	ibg-09	Shared	0..1		0..1	2	BUYER CONTACT	買い手連絡先		A group of business terms providing contact information relevant for the Buyer.	買い手の連絡先に係る情報を提供するビジネス用語のグループ。				2120	cac:Contact	cac:ContactType	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact			0..1	
1760	ibt-056	Shared	0..1		0..1	3	Buyer contact point	買い手連絡先	Text	A contact point for a legal entity or person.	買い手の法人や個人の連絡先。		個人情報保護の観点からは、個人名の使用を避け部署名を使用することが望ましい。	株式会社 △山物産 札幌支社	2130	cbc:Name	udt:NameType	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:Name			0..1	
1770	ibt-057	Shared	0..1		0..1	3	Buyer contact telephone number	買い手連絡先電話番号	Text	A phone number for the contact point.	買い手の連絡先電話番号。				2140	cbc:Telephone	udt:TextType	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:Telephone			0..1	
1780	ibt-058	Shared	0..1		0..1	3	Buyer contact email address	買い手連絡先電子メールアドレス	Text	An e-mail address for the contact point.	買い手の連絡先電子メールアドレス。			purchaser@△yamabussan.co.jp	2150	cbc:ElectronicMail	udt:TextType	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:ElectronicMail			0..1	
1790	ibg-10	Shared	0..1		0..1	1	PAYEE	支払先		"A group of business terms providing information about the Payee	 i.e. the role that receives the payment."	支払先に係る情報を提供するビジネス用語のグループ。				2160	cac:PayeeParty	cac:PartyType	/Invoice/cac:PayeeParty			0..1	
															2170	cac:PartyIdentification	cac:PartyIdentificationType	/Invoice/cac:PayeeParty/cac:PartyIdentification			0..n	CAR-3
1810	ibt-060	Shared	0..1		0..1	2	Payee identifier	支払先ID	Identifier	An identifier for the Payee.	支払先のID。				2180	cbc:ID	udt:IdentifierType	/Invoice/cac:PayeeParty/cac:PartyIdentification/cbc:ID			1..1	CAR-3
1820	ibt-060-1	Shared	0..1		0..1	2	Scheme identifier	スキーマID	ー	"If used	 the identification scheme shall be chosen from the entries of the list published by the ISO/IEC 6523 maintenance agency."	使用する場合、識別スキーマは、ISO/ IEC 6523 保守機関として公開されたリストから選択しなければならない。		この欄には発番機関がISO/IEC 6523 保守機関として登録された番号を記載する。		2190	@schemeID	xsd:normalizedString	/Invoice/cac:PayeeParty/cac:PartyIdentification/cbc:ID/@schemeID		"ICD	SEPA"	0..1	
															2200	cac:PartyName	cac:PartyNameType	/Invoice/cac:PayeeParty/cac:PartyName			0..n	CAR-2 CAR-3
1800	ibt-059	Shared	1..1		1..1	2	Payee name	支払先名称	Text	The name of the Payee.	支払先の名称。				2210	cbc:Name	udt:NameType	/Invoice/cac:PayeeParty/cac:PartyName/cbc:Name			1..1	CAR-2 CAR-3
															2220	cac:PartyLegalEntity	cac:PartyLegalEntityType	/Invoice/cac:PayeeParty/cac:PartyLegalEntity			0..n	CAR-3
1830	ibt-061	Shared	0..1		0..1	2	Payee legal registration identifier	支払先登録企業ID	Identifier	An identifier issued by an official registrar that identifies the Payee as a legal entity or person.	公的登録機関が発行した公的識別子としての支払先の国際企業ID。				2230	cbc:CompanyID	udt:IdentifierType	/Invoice/cac:PayeeParty/cac:PartyLegalEntity/cbc:CompanyID			0..1	CAR-3
1840	ibt-061-1	Shared	0..1		0..1	3	Scheme identifier	スキーマID	ー	"If used	 the identification scheme shall be chosen from the entries of the list published by the ISO/IEC 6523 maintenance agency."	使用する場合、公的機登録機関の識別スキーマは、ISO/IEC6523保守機関として公開されているリストから選択しなければならない。		この欄には発番機関がISO/IEC 6523 保守機関として登録された番号を記載する。		2240	@schemeID	xsd:normalizedString	/Invoice/cac:PayeeParty/cac:PartyLegalEntity/cbc:CompanyID/@schemeID		ICD	0..1	
1850	ibg-11	Aligned	0..1		0..1	1	SELLER TAX REPRESENTATIVE PARTY	売り手税務代理人		A group of business terms providing information about the Seller’s tax representative.	売り手の税務代理人に係る情報を提供するビジネス用語のグループ。				2250	cac:TaxRepresentativeParty	cac:PartyType	/Invoice/cac:TaxRepresentativeParty			0..1	
															2260	cac:PartyName	cac:PartyNameType	/Invoice/cac:TaxRepresentativeParty/cac:PartyName			0..n	CAR-2 CAR-3
1860	ibt-062	Aligned	1..1		1..1	2	Seller tax representative name	売り手税務代理人名称	Text	The full name of the Seller’s tax representative party.	売り手の税務代理人の名称。				2270	cbc:Name	udt:NameType	/Invoice/cac:TaxRepresentativeParty/cac:PartyName/cbc:Name			1..1	CAR-2 CAR-3
1880	ibg-12	Aligned	1..1		1..1	2	SELLER TAX REPRESENTATIVE POSTAL ADDRESS	売り手税務代理人住所		A group of business terms providing information about the postal address for the tax representative party.	税務代理人の住所に関する情報を提供するビジネス用語のグループ。				2280	cac:PostalAddress	cac:AddressType	/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress			0..1	CAR-2
1890	ibt-064	Aligned	0..1		0..1	3	Tax representative address line 1	税務代理人住所欄1	Text	The main address line in an address.	税務代理人の住所の主な記載欄。				2290	cbc:StreetName	udt:NameType	/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:StreetName			0..1	
1900	ibt-065	Aligned	0..1		0..1	3	Tax representative address line 2	税務代理人住所欄2	Text	An additional address line in an address that can be used to give further details supplementing the main line.	税務代理人の住所の主な記載内容に加えて詳細な情報のために使用する追加記載欄。				2300	cbc:AdditionalStreetName	udt:NameType	/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:AdditionalStreetName			0..1	
1920	ibt-066	Aligned	0..1		0..1	3	Tax representative city	税務代理人住所 市区町村	Text	"The common name of the city	 town or village	 where the tax representative address is located."	税務代理人が所在する市、町、村の通称。				2310	cbc:CityName	udt:NameType	/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:CityName			0..1	
1930	ibt-067	Aligned	0..1		0..1	3	Tax representative post code	税務代理人郵便番号	Text	The identifier for an addressable group of properties according to the relevant postal service.	税務代理人の住所の郵便番号。				2320	cbc:PostalZone	udt:TextType	/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:PostalZone			0..1	
1940	ibt-068	Aligned	0..1		0..1	3	Tax representative country subdivision	税務代理人住所 都道府県	Text	The subdivision of a country.	税務代理人の住所の地方区分。		日本の場合は、都道府県。		2330	cbc:CountrySubentity	udt:TextType	/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:CountrySubentity			0..1	
															2340	cac:AddressLine	cac:AddressLineType	/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cac:AddressLine			0..n	CAR-3
1910	ibt-164	Aligned	0..1		0..1	3	Tax representative address line 3	税務代理人住所欄3	Text	An additional address line in an address that can be used to give further details supplementing the main line.	税務代理人の住所の上記の記載内容に加えてより詳細な情報のために使用する追加記載欄。				2350	cbc:Line	udt:TextType	/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cac:AddressLine/cbc:Line			1..1	CAR-3
															2360	cac:Country	cac:CountryType	/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cac:Country			0..1	CAR-2
1950	ibt-069	Aligned	1..1		1..1	3	Tax representative country code	税務代理人国コード	Code	A code that identifies the country.	税務代理人の住所の国コード。		ISO 3166で規定されたアルファベット2文字のコード。		2370	cbc:IdentificationCode	udt:CodeType	/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cac:Country/cbc:IdentificationCode		ISO3166	0..1	CAR-2
															2380	cac:PartyTaxScheme	cac:PartyTaxSchemeType	/Invoice/cac:TaxRepresentativeParty/cac:PartyTaxScheme			0..n	CAR-2 CAR-3
1870	ibt-063	Aligned	1..1		1..1	2	Seller tax representative TAX identifier	売り手税務代理人税ID	Identifier	The TAX identifier of the Seller’s tax representative party.	売り手の税務代理人の税ID。		日本の場合は、国税庁が発行する税務代理人の適格請求書発行事業者登録番号(T+法人番号)。		2390	cbc:CompanyID	udt:IdentifierType	/Invoice/cac:TaxRepresentativeParty/cac:PartyTaxScheme/cbc:CompanyID			0..1	CAR-2 CAR-3
															2400	cac:TaxScheme	cac:TaxSchemeType	/Invoice/cac:TaxRepresentativeParty/cac:PartyTaxScheme/cac:TaxScheme			1..1	
															2410	cbc:ID	udt:IdentifierType	/Invoice/cac:TaxRepresentativeParty/cac:PartyTaxScheme/cac:TaxScheme/cbc:ID			0..1	
1960	ibg-13	Shared	0..1		0..1	1	DELIVERY INFORMATION	納入先		A group of business terms providing information about where and when the goods and services invoiced are delivered.	財又はサービスが何時何処に納入されたかに係る情報を提供するビジネス用語のグループ。				2420	cac:Delivery	cac:DeliveryType	/Invoice/cac:Delivery			0..n	CAR-3
2000	ibt-072	Shared	0..1		0..1	2	Actual delivery date	実際納入日	Date	the date on which the supply of goods or services was made or completed.	財又はサービスが納入された、あるいはすべて提供された日付。	The date is described in the Christian era and is YYYY-MM-DD. 	日付表示は西暦表示で、YYYY-MM-DD となる。	2023-11-04	2430	cbc:ActualDeliveryDate	udt:DateType	/Invoice/cac:Delivery/cbc:ActualDeliveryDate			0..1	
															2440	cac:DeliveryLocation	cac:LocationType	/Invoice/cac:Delivery/cac:DeliveryLocation			0..1	
1980	ibt-071	Shared	0..1		0..1	2	Deliver to location identifier	納入先ID	Identifier	An identifier for the location at which the goods and services are delivered.	財又はサービスが納入された納入先の場所ID。				2450	cbc:ID	udt:IdentifierType	/Invoice/cac:Delivery/cac:DeliveryLocation/cbc:ID			0..1	
1990	ibt-071-1	Shared	0..1		0..1	2	Scheme identifier	スキーマID	ー	"The identification scheme identifier of the Deliver to location identifier. If used	 the identification scheme shall be chosen from the entries of the list published by the ISO/IEC 6523 maintenance agency."	納入された住所IDを発行した組織の識別スキーマID。使用する場合、識別スキーマは、ISO/IEC 6523 の保守機関によって公開されたリストから選択しなければならない。	"For example	 0147 Standard Company Code. Partner identification code which is registered with JIPDEC/ECPC. Issuing agency: JIPDEC	 Japan. It consists of company identification number (6 digit) + sub-number (6 digit). Company identification number (6 digit) is issued by JIPDEC	 on the other hand	 sub-number (6 digit)	 which is for identifying branch or division inside company	 is issued and managed by each company."	この欄には発番機関がISO/IEC 6523 保守機関として登録された番号を記載する。		2460	@schemeID	xsd:normalizedString	/Invoice/cac:Delivery/cac:DeliveryLocation/cbc:ID/@schemeID		ICD	0..1	
2040	ibg-15	Shared	0..1		0..1	2	DELIVER TO ADDRESS	納入先住所		A group of business terms providing information about the address to which goods and services invoiced were or are delivered.	請求する財又はサービスの納入先の住所に関する情報を提供するビジネス用語のグループ。				2470	cac:Address	cac:AddressType	/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address			0..1	
2050	ibt-075	Shared	0..1		0..1	3	Deliver to address line 1	納入先住所欄1	Text	The main address line in an address.	納入先の住所の主な記載欄。			北十二条西XX-X	2480	cbc:StreetName	udt:NameType	/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:StreetName			0..1	
2060	ibt-076	Shared	0..1		0..1	3	Deliver to address line 2	納入先住所欄2	Text	An additional address line in an address that can be used to give further details supplementing the main line.	納入先の住所の主な記載内容に加えて詳細な情報のために使用する追加記載欄。			札幌第3倉庫	2490	cbc:AdditionalStreetName	udt:NameType	/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:AdditionalStreetName			0..1	
2080	ibt-077	Shared	0..1		0..1	3	Deliver to city	納入先住所 市区町村	Text	"The common name of the city	 town or village	 where the deliver to address is located."	納入先が所在する市、町、村の通称。			札幌市	2500	cbc:CityName	udt:NameType	/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:CityName			0..1	
2090	ibt-078	Shared	0..1		0..1	3	Deliver to post code	納入先郵便番号	Text	The identifier for an addressable group of properties according to the relevant postal service.	納入先の住所の郵便番号。			001-00xx	2510	cbc:PostalZone	udt:TextType	/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:PostalZone			0..1	
2100	ibt-079	Shared	0..1		0..1	3	Deliver to country subdivision	納入先住所 都道府県	Text	The subdivision of a country.	納入先の住所の地方区分。		日本の場合は、都道府県。	北海道	2520	cbc:CountrySubentity	udt:TextType	/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:CountrySubentity			0..1	
															2530	cac:AddressLine	cac:AddressLineType	/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cac:AddressLine			0..n	CAR-3
2070	ibt-165	Shared	0..1		0..1	3	Deliver to address line 3	納入先住所欄3	Text	An additional address line in an address that can be used to give further details supplementing the main line.	納入先の住所の上記の記載内容に加えてより詳細な情報のために使用する追加記載欄。				2540	cbc:Line	udt:TextType	/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cac:AddressLine/cbc:Line			1..1	CAR-3
															2550	cac:Country	cac:CountryType	/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cac:Country			0..1	CAR-2
2110	ibt-080	Shared	1..1		1..1	3	Deliver to country code	納入先国コード	Code	A code that identifies the country.	納入先の住所の国コード。		ISO 3166で規定されたアルファベット2文字のコード。	JP	2560	cbc:IdentificationCode	udt:CodeType	/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cac:Country/cbc:IdentificationCode		ISO3166	0..1	CAR-2
															2570	cac:DeliveryParty	cac:PartyType	/Invoice/cac:Delivery/cac:DeliveryParty			0..1	
															2580	cac:PartyName	cac:PartyNameType	/Invoice/cac:Delivery/cac:DeliveryParty/cac:PartyName			0..n	CAR-3
1970	ibt-070	Shared	0..1		0..1	2	Deliver to party name	納入先名称	Text	The name of the party to which the goods and services are delivered.	財又はサービスが納入された納入先の名称。			株式会社 藤山物産 札幌支社	2590	cbc:Name	udt:NameType	/Invoice/cac:Delivery/cac:DeliveryParty/cac:PartyName/cbc:Name			1..1	CAR-3
2125	ibg-16	Aligned	0..n		0..n	1	PAYMENT INSTRUCTIONS	支払指示		A group of business terms providing information about the payment.	取引条件のうち支払に関する情報を提供するビジネス用語のグループ。				2600	cac:PaymentMeans	cac:PaymentMeansType	/Invoice/cac:PaymentMeans			0..n	
2130	ibt-178	Aligned	0..1		0..1	2	Payment Instructions ID	支払指示ID	Identifier	An identifier for the payment instructions.	各支払指示に対して割り当てられるID。				2610	cbc:ID	udt:IdentifierType	/Invoice/cac:PaymentMeans/cbc:ID			0..1	
2140	ibt-081	Aligned	1..1		1..1	2	Payment means type code	支払手段タイプコード	Code	"The means	 expressed as code	 for how a payment is expected to be or has been settled."	取引決済手段のタイプを識別するコード。			3	2620	cbc:PaymentMeansCode	udt:CodeType	/Invoice/cac:PaymentMeans/cbc:PaymentMeansCode		UNCL4461	1..1	
2150	ibt-082	Shared	0..1		0..1	2	Payment means text	支払手段内容説明	Text	A textual description of the means/methods by which the payment is expected to be or has been settled.	取引決済手段を説明するテキスト。			Credit transfer	2630	@name	xsd:string	/Invoice/cac:PaymentMeans/cbc:PaymentMeansCode/@name			0..1	
2160	ibt-083	Aligned	0..n		0..n	2	Remittance information	送金情報	Text	A textual value used for payment routing or to establish a link between the payment and the Invoice.	支払と請求書とを紐づけるために使用されるテキスト。			Snippet1	2640	cbc:PaymentID	udt:IdentifierType	/Invoice/cac:PaymentMeans/cbc:PaymentID			0..n	
2170	ibt-083-1	Aligned	0..1		0..1	3	Scheme identifier	スキーマID	Code	The identification of the identification scheme. As example ABA	スキーマID、例えば、ABA。				2650	@schemeID	xsd:normalizedString	/Invoice/cac:PaymentMeans/cbc:PaymentID/@schemeID			0..1	
2310	ibg-18	Shared	0..1		0..1	2	PAYMENT CARD INFORMATION	支払カード情報		A group of business terms providing information about card used for payment contemporaneous with invoice issuance.	請求書発行と同時に支払に使用されるカードに関する情報を提供するビジネス用語のグループ。		買い手がクレジットカードやデビットカードなどの支払いカードを使用することを選択した場合にのみ使用。		2660	cac:CardAccount	cac:CardAccountType	/Invoice/cac:PaymentMeans/cac:CardAccount			0..1	
2320	ibt-087	Shared	1..1		1..1	3	Payment card primary account number	支払カード番号	Text	The Primary Account Number (PAN) of the card used for payment.	支払に使用するカードの支払カード番号。		カード支払セキュリティ基準に従って、請求書にはカードの主要口座番号を完全に含めない。現時点では、PCI Security Standards Council は、最初の6桁と最後の4桁が表示される最大桁数であると定義。		2670	cbc:PrimaryAccountNumberID	udt:IdentifierType	/Invoice/cac:PaymentMeans/cac:CardAccount/cbc:PrimaryAccountNumberID			1..1	
															2680	cbc:NetworkID	udt:IdentifierType	/Invoice/cac:PaymentMeans/cac:CardAccount/cbc:NetworkID			1..1	
2330	ibt-088	Shared	0..1		0..1	3	Payment card holder name	カード名義人氏名	Text	The name of the payment card holder.	支払カード所有者の氏名。				2690	cbc:HolderName	udt:NameType	/Invoice/cac:PaymentMeans/cac:CardAccount/cbc:HolderName			0..1	
2180	ibg-17	Aligned	0..1		0..1	2	CREDIT TRANSFER	銀行振込		A group of business terms to specify credit transfer payments.	銀行振込による支払を指定する情報を提供するビジネス用語のグループ。				2700	cac:PayeeFinancialAccount	cac:FinancialAccountType	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount			0..1	
