name,Cardinality,DataType,AssociatedObjectClass,cyclic,Definition,Examples
cac:CreditNoteLine,,,,,A class to define a line in a Credit Note or Self Billed Credit Note.,
cbc:ID,1,IdentifierType,,,An identifier for this credit note line.,
cbc:UUID,0..1,IdentifierType,,,A universally unique identifier for this credit note line.,
cbc:Note,0..n,TextType,,,Free-form text conveying information that is not contained explicitly in other structures.,
cbc:CreditedQuantity,0..1,QuantityType,,,The quantity of items credited in this credit note line.,
cbc:LineExtensionAmount,0..1,AmountType,,,"The total amount for this credit note line, including allowance charges but exclusive of taxes.",
cbc:TaxPointDate,0..1,DateType,,,"The date of this credit note line, used to indicate the point at which tax becomes applicable.",
cbc:AccountingCostCode,0..1,CodeType,,,"The buyer's accounting cost centre for this credit note line, expressed as a code.",
cbc:AccountingCost,0..1,TextType,,,"The buyer's accounting cost centre for this credit note line, expressed as text.",
cbc:PaymentPurposeCode,0..1,CodeType,,,A code signifying the business purpose for this payment.,
cbc:FreeOfChargeIndicator,0..1,IndicatorType,,,An indicator that this credit note line is free of charge (true) or not (false). The default is false.,1
cac:InvoicePeriod,0..n,,Period,,An invoice period to which this credit note line applies.,
cac:OrderLineReference,0..n,,OrderLineReference,,A reference to an order line associated with this credit note line.,
cac:DiscrepancyResponse,0..n,,Response,,A reason for the credit.,
cac:DespatchLineReference,0..n,,LineReference,,A reference to a despatch line associated with this credit note line.,
cac:ReceiptLineReference,0..n,,LineReference,,A reference to a receipt line associated with this credit note line.,
cac:BillingReference,0..n,,BillingReference,,A reference to a billing document associated with this credit note line.,
cac:DocumentReference,0..n,,DocumentReference,,A reference to a document associated with this credit note line.,
cac:PricingReference,0..1,,PricingReference,,A reference to pricing and item location information associated with this credit note line.,
cac:OriginatorParty,0..1,,Party,,The party who originated the Order to which the Credit Note is related.,
cac:Delivery,0..n,,Delivery,,A delivery associated with this credit note line.,
cac:PaymentTerms,0..n,,PaymentTerms,,A specification of payment terms associated with this credit note line.,
cac:TaxTotal,0..n,,TaxTotal,,A total amount of taxes of a particular kind applicable to this credit note line.,
cac:AllowanceCharge,0..n,,AllowanceCharge,,An allowance or charge associated with this credit note.,
cac:Item,0..1,,Item,,The item associated with this credit note line.,
cac:Price,0..1,,Price,,The price of the item associated with this credit note line.,
cac:DeliveryTerms,0..n,,DeliveryTerms,,Terms and conditions of a delivery associated with this credit note line.,
cac:SubCreditNoteLine,0..n,,CreditNoteLine,x,A class defining one or more Credit Note Lines detailing the credit note line.,
cac:ItemPriceExtension,0..1,,PriceExtension,,"The price extension, calculated by multiplying the price per unit by the quantity of items on this credit note line.",
cac:CustomerParty,,,,,A class to describe a customer party.,
cbc:CustomerAssignedAccountID,0..1,IdentifierType,,,"An identifier for the customer's account, assigned by the customer itself.",
cbc:SupplierAssignedAccountID,0..1,IdentifierType,,,"An identifier for the customer's account, assigned by the supplier.",
cbc:AdditionalAccountID,0..n,IdentifierType,,,"An identifier for the customer's account, assigned by a third party.",
cac:Party,0..1,,Party,,The customer party itself.,
cac:DeliveryContact,0..1,,Contact,,A customer contact for deliveries.,
cac:AccountingContact,0..1,,Contact,,A customer contact for accounting.,
cac:BuyerContact,0..1,,Contact,,A customer contact for purchasing.,
cac:CustomsDeclaration,,,,,A class describing identifiers or references relating to customs procedures.,"Movement Reference Number, Local Reference Number"
cbc:ID,1,IdentifierType,,,An identifier associated with customs related procedures.,CUST001 3333-44023 
cac:IssuerParty,0..1,,Party,,Describes the party issuing the customs declaration.,
cac:DebitNoteLine,,,,,A class to define a line in a Debit Note.,
cbc:ID,1,IdentifierType,,,An identifier for this debit note line.,
cbc:UUID,0..1,IdentifierType,,,A universally unique identifier for this debit note line.,
cbc:Note,0..n,TextType,,,Free-form text conveying information that is not contained explicitly in other structures.,
cbc:DebitedQuantity,0..1,QuantityType,,,The quantity of Items debited in this debit note line.,
cbc:LineExtensionAmount,1,AmountType,,,"The total amount for this debit note line, including allowance charges but net of taxes.",
cbc:TaxPointDate,0..1,DateType,,,"The date of this debit note line, used to indicate the point at which tax becomes applicable.",
cbc:AccountingCostCode,0..1,CodeType,,,"The buyer's accounting cost centre for this debit note line, expressed as a code.",
cbc:AccountingCost,0..1,TextType,,,"The buyer's accounting cost centre for this debit note line, expressed as text.",
cbc:PaymentPurposeCode,0..1,CodeType,,,A code signifying the business purpose for this payment.,
cac:DiscrepancyResponse,0..n,,Response,,A reason for the debit.,
cac:DespatchLineReference,0..n,,LineReference,,A reference to a despatch line associated with this debit note line.,
cac:ReceiptLineReference,0..n,,LineReference,,A reference to a receipt line associated with this debit note line.,
cac:BillingReference,0..n,,BillingReference,,A reference to a billing document associated with this debit note line.,
cac:DocumentReference,0..n,,DocumentReference,,A reference to a document associated with this debit note line.,
cac:PricingReference,0..1,,PricingReference,,A reference to pricing and item location information associated with this debit note line.,
cac:Delivery,0..n,,Delivery,,A delivery associated with this debit note line.,
cac:TaxTotal,0..n,,TaxTotal,,A total amount of taxes of a particular kind applicable to this debit note line.,
cac:AllowanceCharge,0..n,,AllowanceCharge,,An allowance or charge associated with this debit note.,
cac:Item,0..1,,Item,,The item associated with this debit note line.,
cac:Price,0..1,,Price,,The price of the item associated with this debit note line.,
cac:SubDebitNoteLine,0..n,,DebitNoteLine,x,A recursive description of a debit note line subsidiary to this debit note line.,
cac:Declaration,,,,,A class to describe a declaration by an economic operator of certain characteristics or capabilities in fulfilment of requirements specified in a call for tenders.,
cbc:Name,0..n,NameType,,,The name of this declaration.,
cbc:DeclarationTypeCode,0..1,CodeType,,,A code signifying the type of this declaration.,
cbc:Description,0..n,TextType,,,Text describing this declaration.,
cac:EvidenceSupplied,0..n,,EvidenceSupplied,,The evidence supporting this declaration.,
cac:Delivery,,,,,A class to describe a delivery.,
cbc:ID,0..1,IdentifierType,,,An identifier for this delivery.,
cbc:Quantity,0..1,QuantityType,,,"The quantity of items, child consignments, shipments in this delivery.",
cbc:MinimumQuantity,0..1,QuantityType,,,"The minimum quantity of items, child consignments, shipments in this delivery.",
cbc:MaximumQuantity,0..1,QuantityType,,,"The maximum quantity of items, child consignments, shipments in this delivery.",
cbc:ActualDeliveryDate,0..1,DateType,,,The actual date of delivery.,
cbc:ActualDeliveryTime,0..1,TimeType,,,The actual time of delivery.,
cbc:LatestDeliveryDate,0..1,DateType,,,The latest date of delivery allowed by the buyer.,
cbc:LatestDeliveryTime,0..1,TimeType,,,The latest time of delivery allowed by the buyer.,
cbc:ReleaseID,0..1,IdentifierType,,,"An identifier used for approval of access to delivery locations (e.g., port terminals).",
cbc:TrackingID,0..1,IdentifierType,,,The delivery Tracking ID (for transport tracking).,
cac:DeliveryAddress,0..1,,Address,,The delivery address.,
cac:DeliveryLocation,0..1,,Location,,The delivery location.,
cac:AlternativeDeliveryLocation,0..1,,Location,,An alternative delivery location.,
cac:RequestedDeliveryPeriod,0..1,,Period,,The period requested for delivery.,
cac:PromisedDeliveryPeriod,0..1,,Period,,The period promised for delivery.,
cac:EstimatedDeliveryPeriod,0..1,,Period,,The period estimated for delivery.,
cac:CarrierParty,0..1,,Party,,The party responsible for delivering the goods.,
cac:DeliveryParty,0..1,,Party,,The party to whom the goods are delivered.,
cac:NotifyParty,0..n,,Party,,A party to be notified of this delivery.,
cac:Despatch,0..1,,Despatch,,The despatch (pickup) associated with this delivery.,
cac:DeliveryTerms,0..n,,DeliveryTerms,,Terms and conditions relating to the delivery.,
cac:MinimumDeliveryUnit,0..1,,DeliveryUnit,,The minimum delivery unit for this delivery.,
cac:MaximumDeliveryUnit,0..1,,DeliveryUnit,,The maximum delivery unit for this delivery.,
cac:Shipment,0..1,,Shipment,,The shipment being delivered.,
cac:DeliveryTerms,,,,,A class for describing the terms and conditions applying to the delivery of goods.,
cbc:ID,0..1,IdentifierType,,,An identifier for this description of delivery terms.,"CIF, FOB, or EXW from the INCOTERMS Terms of Delivery. (2000 version preferred.)"
cbc:SpecialTerms,0..n,TextType,,,A description of any terms or conditions relating to the delivery items.,
cbc:LossRiskResponsibilityCode,0..1,CodeType,,,A code that identifies one of various responsibilities for loss risk in the execution of the delivery.,
cbc:LossRisk,0..n,TextType,,,"A description of responsibility for risk of loss in execution of the delivery, expressed as text.",
cbc:Amount,0..1,AmountType,,,The monetary amount covered by these delivery terms.,
cac:DeliveryLocation,0..1,,Location,,The location for the contracted delivery.,
cac:AllowanceCharge,0..1,,AllowanceCharge,,An allowance or charge covered by these delivery terms.,
cac:DeliveryUnit,,,,,A class to describe a delivery unit.,
cbc:BatchQuantity,1,QuantityType,,,The quantity of ordered Items that constitutes a batch for delivery purposes.,100
cbc:ConsumerUnitQuantity,0..1,QuantityType,,,The quantity of units in the Delivery Unit expressed in the units used by the consumer.,10
cbc:HazardousRiskIndicator,0..1,IndicatorType,,,An indication that the transported goods are subject to an international regulation concerning the carriage of dangerous goods (true) or not (false).,0
cac:DependentPriceReference,,,,,A class to define the price of an item as a percentage of the price of a different item.,
cbc:Percent,0..1,PercentType,,,The percentage by which the price of the different item is multiplied to calculate the price of the item.,
cac:LocationAddress,0..1,,Address,,The reference location for this dependent price reference.,
cac:DependentLineReference,0..1,,LineReference,,A reference to a line that the price is depended of.,
cac:Despatch,,,,,A class to describe the despatching of goods (their pickup for delivery).,
cbc:ID,0..1,IdentifierType,,,An identifier for this despatch event.,
cbc:RequestedDespatchDate,0..1,DateType,,,"The despatch (pickup) date requested, normally by the buyer.",
cbc:RequestedDespatchTime,0..1,TimeType,,,"The despatch (pickup) time requested, normally by the buyer.",
cbc:EstimatedDespatchDate,0..1,DateType,,,The estimated despatch (pickup) date.,
cbc:EstimatedDespatchTime,0..1,TimeType,,,The estimated despatch (pickup) time.,
cbc:ActualDespatchDate,0..1,DateType,,,The actual despatch (pickup) date.,
cbc:ActualDespatchTime,0..1,TimeType,,,The actual despatch (pickup) time.,
cbc:GuaranteedDespatchDate,0..1,DateType,,,The date guaranteed for the despatch (pickup).,
cbc:GuaranteedDespatchTime,0..1,TimeType,,,The time guaranteed for the despatch (pickup).,
cbc:ReleaseID,0..1,IdentifierType,,,An identifier for the release of the despatch used as security control or cargo control (pick-up).,
cbc:Instructions,0..n,TextType,,,Text describing any special instructions applying to the despatch (pickup).,
cac:DespatchAddress,0..1,,Address,,The address of the despatch (pickup).,
cac:DespatchLocation,0..1,,Location,,The location of the despatch (pickup).,
cac:DespatchParty,0..1,,Party,,The party despatching the goods.,
cac:CarrierParty,0..1,,Party,,The party carrying the goods.,
cac:NotifyParty,0..n,,Party,,A party to be notified of this despatch (pickup).,
cac:Contact,0..1,,Contact,,The primary contact for this despatch (pickup).,
cac:EstimatedDespatchPeriod,0..1,,Period,,The period estimated for the despatch (pickup) of goods.,
cac:RequestedDespatchPeriod,0..1,,Period,,The period requested for the despatch (pickup) of goods.,
cac:DespatchLine,,,,,A class to define a line in a Despatch Advice.,
cbc:ID,1,IdentifierType,,,An identifier for this despatch line.,
cbc:UUID,0..1,IdentifierType,,,A universally unique identifier for this despatch line.,
cbc:Note,0..n,TextType,,,Free-form text conveying information that is not contained explicitly in other structures.,
cbc:LineStatusCode,0..1,CodeType,,,A code signifying the status of this despatch line with respect to its original state.,
cbc:DeliveredQuantity,0..1,QuantityType,,,The quantity despatched (picked up).,
cbc:BackorderQuantity,0..1,QuantityType,,,The quantity on back order at the supplier.,
cbc:BackorderReason,0..n,TextType,,,The reason for the back order.,
cbc:OutstandingQuantity,0..1,QuantityType,,,The quantity outstanding (which will follow in a later despatch).,
cbc:OutstandingReason,0..n,TextType,,,The reason for the outstanding quantity.,
cbc:OversupplyQuantity,0..1,QuantityType,,,"The quantity over-supplied, i.e., the quantity over and above that ordered.",
cac:OrderLineReference,1..n,,OrderLineReference,,A reference to an order line associated with this despatch line.,
cac:DocumentReference,0..n,,DocumentReference,,A reference to a document associated with this despatch line.,
cac:Item,1,,Item,,The item associated with this despatch line.,
cac:Shipment,0..n,,Shipment,,A shipment associated with this despatch line.,
cac:Dimension,,,,,"A class to define a measurable dimension (length, mass, weight, volume, or area) of an item.",
cbc:AttributeID,1,IdentifierType,,,An identifier for the attribute to which the measure applies.,
cbc:Measure,0..1,MeasureType,,,The measurement value.,
cbc:Description,0..n,TextType,,,Text describing the measurement attribute.,
cbc:MinimumMeasure,0..1,MeasureType,,,The minimum value in a range of measurement of this dimension.,
cbc:MaximumMeasure,0..1,MeasureType,,,The maximum value in a range of measurement of this dimension.,
cac:DocumentDistribution,,,,,A class to describe the distribution of a document to an interested party.,
cbc:PrintQualifier,1,TextType,,,Text describing the interested party's distribution rights.,
cbc:MaximumCopiesNumeric,1,NumericType,,,The maximum number of printed copies of the document that the interested party is allowed to make.,
cac:Party,1,,Party,,The interested party to which the document should be distributed.,
cac:DocumentReference,,,,,A class to define a reference to a document.,
cbc:ID,1,IdentifierType,,,An identifier for the referenced document.,PO-001 3333-44-123 
cbc:CopyIndicator,0..1,IndicatorType,,,An indicator that the referenced document is a copy (true) or the original (false).,1
cbc:UUID,0..1,IdentifierType,,,A universally unique identifier for this document reference.,
cbc:IssueDate,0..1,DateType,,,"The date, assigned by the sender of the referenced document, on which the document was issued.",
cbc:IssueTime,0..1,TimeType,,,"The time, assigned by the sender of the referenced document, at which the document was issued.",
cbc:DocumentTypeCode,0..1,CodeType,,,"The type of document being referenced, expressed as a code.",
cbc:DocumentType,0..1,TextType,,,"The type of document being referenced, expressed as text.",
cbc:XPath,0..n,TextType,,,A reference to another place in the same XML document instance in which DocumentReference appears.,
cbc:LanguageID,0..1,IdentifierType,,,An identifier for the language used in the referenced document.,
cbc:LocaleCode,0..1,CodeType,,,A code signifying the locale in which the language in the referenced document is used.,
cbc:VersionID,0..1,IdentifierType,,,An identifier for the current version of the referenced document.,1.1 
cbc:DocumentStatusCode,0..1,CodeType,,,A code signifying the status of the reference document with respect to its original state.,
cbc:DocumentDescription,0..n,TextType,,,Text describing the referenced document.,stock no longer provided 
cac:Attachment,0..1,,Attachment,,The referenced document as an attachment to the document from which it is referenced.,
cac:ValidityPeriod,0..1,,Period,,The period for which this document reference is valid.,
cac:IssuerParty,0..1,,Party,,The party who issued the referenced document.,
cac:ResultOfVerification,0..1,,ResultOfVerification,,The result of an attempt to verify a signature associated with the referenced document.,
cac:DocumentResponse,,,,,A class to describe an application-level response to a document.,
cac:Response,1,,Response,,A response to the document as a whole.,
cac:DocumentReference,1..n,,DocumentReference,,A referenced document.,
cac:IssuerParty,0..1,,Party,,The party that issued the document.,
cac:RecipientParty,0..1,,Party,,The party for which the document is intended.,
cac:LineResponse,0..n,,LineResponse,,A response to a particular line in the document.,
cac:Duty,,,,,The charging rate used for both call charging and time dependent charging,
cbc:Amount,1,AmountType,,,The amount of this duty.,
cbc:Duty,0..1,TextType,,,Text describing this duty.,ConnectionFee
cbc:DutyCode,0..1,CodeType,,,"The type of this charge rate, expressed as a code.",ConnectionFee
cac:TaxCategory,0..1,,TaxCategory,,The tax category applicable to this duty.,
cac:EconomicOperatorRole,,,,,A class to describe the tenderer contracting role.,
cbc:RoleCode,0..1,CodeType,,,A code specifying the role of the party.,
cbc:RoleDescription,0..n,TextType,,,A textual description of the party role.,
cac:EconomicOperatorShortList,,,,,A class to provide information about the preselection of a short list of economic operators for consideration as possible candidates in a tendering process.,
cbc:LimitationDescription,0..n,TextType,,,Text describing the criteria used to restrict the number of candidates.,
cbc:ExpectedQuantity,0..1,QuantityType,,,The number of economic operators expected to be on the short list.,
cbc:MaximumQuantity,0..1,QuantityType,,,The maximum number of economic operators on the short list.,
cbc:MinimumQuantity,0..1,QuantityType,,,The minimum number of economic operators on the short list.,
cac:PreSelectedParty,0..n,,Party,,The parties pre-selected allowed to submit tenders in a negotiated procedure. Negotiated procedure is a type of procedure where the contracting authorities can set the parties to be invited in the procurement project,
cac:EmissionCalculationMethod,,,,,A class to define how an environmental emission is calculated.,
cbc:CalculationMethodCode,0..1,CodeType,,,A code signifying the method used to calculate the emission.,
cbc:FullnessIndicationCode,0..1,CodeType,,,"A code signifying whether a piece of transport equipment is full, partially full, or empty. This indication is used as a parameter when calculating the environmental emission.",
cac:MeasurementFromLocation,0..1,,Location,,A start location from which an environmental emission is calculated.,
cac:MeasurementToLocation,0..1,,Location,,An end location to which an environmental emission is calculated.,
cac:Endorsement,,,,,A class to describe an endorsement of a document.,
cbc:DocumentID,1,IdentifierType,,,An identifier for this endorsement.,
cbc:ApprovalStatus,1,TextType,,,The status of this endorsement.,
cbc:Remarks,0..n,TextType,,,Remarks provided by the endorsing party.,
cac:EndorserParty,1,,EndorserParty,,The type of party providing this endorsement.,
cac:Signature,0..n,,Signature,,A signature applied to this endorsement.,
cac:EndorserParty,,,,,A class to describe the party endorsing a document.,
cbc:RoleCode,1,CodeType,,,"A code specifying the role of the party providing the endorsement (e.g., issuer, embassy, insurance, etc.).",
cbc:SequenceNumeric,1,NumericType,,,A number indicating the order of the endorsement provided by this party in the sequence in which endorsements are to be applied.,
cac:Party,1,,Party,,The party endorsing the application.,
cac:SignatoryContact,1,,Contact,,The individual representing the exporter who signs the Certificate of Origin application before submitting it to the issuer party.,
cac:EnergyTaxReport,,,,,A class to describe energy taxes.,
cbc:TaxEnergyAmount,0..1,AmountType,,,The monetary amount of taxes (and duties).,
cbc:TaxEnergyOnAccountAmount,0..1,AmountType,,,The monetary amount of taxes (and duties) paid on account.,
cbc:TaxEnergyBalanceAmount,0..1,AmountType,,,The monetary amount of the balance of taxes owing.,
cac:TaxScheme,1,,TaxScheme,,The relevant taxation scheme.,
cac:EnergyWaterSupply,,,,,A class to describe the supply (and therefore consumption) of an amount of energy or water.,
cac:ConsumptionReport,0..n,,ConsumptionReport,,An amount of energy or water consumed.,
cac:EnergyTaxReport,0..n,,EnergyTaxReport,,A tax on the consumption of energy or water.,
cac:ConsumptionAverage,0..n,,ConsumptionAverage,,A consumption average.,
cac:EnergyWaterConsumptionCorrection,0..n,,ConsumptionCorrection,,Describes any corrections or adjustments to the supply of energy or water.,
cac:EnvironmentalEmission,,,,,A class to describe an environmental emission.,
cbc:EnvironmentalEmissionTypeCode,1,CodeType,,,A code specifying the type of environmental emission.,
cbc:ValueMeasure,1,MeasureType,,,A value measurement for the environmental emission.,
cbc:Description,0..n,TextType,,,Text describing this environmental emission.,
cac:EmissionCalculationMethod,0..n,,EmissionCalculationMethod,,A method used to calculate the amount of this emission.,
cac:EvaluationCriterion,,,,,A class defining the required criterion for a tenderer to be elligible in a tendering process. ,
cbc:EvaluationCriterionTypeCode,0..1,CodeType,,,"A code that specifies the criterion; it may be financial, technical or organizational.",
cbc:Description,0..n,TextType,,,A description of the criterion.,
cbc:ThresholdAmount,0..1,AmountType,,,Estimated monetary amount of the threshold for the criterion.,
cbc:ThresholdQuantity,0..1,QuantityType,,,Estimated quantity of the threshold for the criterion.,
cbc:ExpressionCode,0..1,CodeType,,,A code identifying the expression that will be used to evaluate the criterion.,
cbc:Expression,0..n,TextType,,,The expression that will be used to evaluate the criterion.,
cac:DurationPeriod,0..1,,Period,,Describes the period for which the evaluation criterion is valid.,
cac:SuggestedEvidence,0..n,,Evidence,,Describes any evidences that should be used to satisfy the criterion. ,
cac:Event,,,,,"A class to describe a significant occurrence relating to an object, process, or person.",
cbc:IdentificationID,0..1,IdentifierType,,,An identifier for this event within an agreed event identification scheme.,
cbc:OccurrenceDate,0..1,DateType,,,The date of this event.,
cbc:OccurrenceTime,0..1,TimeType,,,The time of this event.,
cbc:TypeCode,0..1,CodeType,,,A code signifying the type of this event.,
cbc:Description,0..n,TextType,,,Text describing this event.,
cbc:CompletionIndicator,0..1,IndicatorType,,,An indicator that this event has been completed (true) or not (false).,1
cac:CurrentStatus,0..n,,Status,,The current status of this event.,
cac:Contact,0..n,,Contact,,Contacts associated with this event.,
cac:OccurenceLocation,0..1,,Location,,The location of this event.,
cac:EventComment,,,,,A class to define comments about a retail event.,
cbc:Comment,1,TextType,,,Text commenting on the event.,
cbc:IssueDate,0..1,DateType,,,The date on which this comment was made.,
cbc:IssueTime,0..1,TimeType,,,The time at which this comment was made.,
cac:EventLineItem,,,,,A class to define a line item describing the expected impacts associated with a retail event involving a specific product at a specific location.,
cbc:LineNumberNumeric,0..1,NumericType,,,The number of this event line item.,
cac:ParticipatingLocationsLocation,0..1,,Location,,The location of the stores involved in the event described in this line item.,
cac:RetailPlannedImpact,0..n,,RetailPlannedImpact,,A planned impact of the event described in this line item.,
cac:SupplyItem,1,,Item,,The product with which the event is associated.,
cac:EventTactic,,,,,A class defining a specific type of action or situation arranged by the Buyer or the Seller to promote the product or products.,
cbc:Comment,0..1,TextType,,,Generic field to add additional information or to specify mutually defined eventTacticTypes that are not currently listed.,
cbc:Quantity,0..1,QuantityType,,,"The currencies, units, etc. that describes what is need for the event or promotion Usage example: Number of pallets per store for a stack display",
cac:EventTacticEnumeration,1,,EventTacticEnumeration,,The set of codes that describes this event tactic.,
cac:Period,0..1,,Period,,The period covered by this event tactic.,
cac:EventTacticEnumeration,,,,,A class to define a set of codes that describes a retail tactic.,
cbc:ConsumerIncentiveTacticTypeCode,0..1,CodeType,,,"A code signifying the type of consumer incentive. Examples include:Free Item, Temporary Price reduction",
cbc:DisplayTacticTypeCode,0..1,CodeType,,,"A code signifying the type of display. Examples Include: ON_COUNTER_DISPLAY, FLOOR_GRAPHICS FLOOR_STACK_DISPLAY",
cbc:FeatureTacticTypeCode,0..1,CodeType,,,"A code signifying a special feature. Examples Include: BILLBOARD DIRECT_MAIL_AD, FLYER",
cbc:TradeItemPackingLabelingTypeCode,0..1,CodeType,,,A code signifying the type of trade item packing and labeling. Examples Include: BONUS_SIZE CO_BRANDED_TRADE_ITEM,
cac:Evidence,,,,,"A class to describe an item of evidentiary support for representations of capabilities or the ability to meet tendering requirements, which an economic operator must provide for acceptance into a tendering process.",
cbc:ID,0..1,IdentifierType,,,An identifier for this item of evidentiary support.,
cbc:EvidenceTypeCode,0..1,CodeType,,,A code signifying the type of evidence.,
cbc:Description,0..n,TextType,,,The textual description for this Evidence.,
cbc:CandidateStatement,0..n,TextType,,,Information about a candidate statement that the contracting authority accepts as a sufficient response.,
cac:EvidenceIssuingParty,0..1,,Party,,A class to describe a party issuing an evidentiary document.,
cac:DocumentReference,0..1,,DocumentReference,,A reference to the evidentiary document.,
cac:Language,0..1,,Language,,"Information about a required translation to be part of the response, i.e. the language.",
cac:EvidenceSupplied,,,,,A reference to evidence.,
cbc:ID,1,IdentifierType,,,The identifier of the referenced evidence.,
cac:ExceptionCriteriaLine,,,,,"A class to define a line in an ExceptionCriteria document that specifies a threshold for forecast variance, product activity, or performance history, the exceeding of which should trigger an exception message.",
cbc:ID,1,IdentifierType,,,An identifier for this exception criteria line.,
cbc:Note,0..n,TextType,,,Free-form text conveying information that is not contained explicitly in other structures.,
cbc:ThresholdValueComparisonCode,1,CodeType,,,"Type of comparison to be carried out in reference to the set threshold."" Allowed values are: EXCEEDS_EXCEPTION_VALUE FALLS_BELOW_EXCEPTION_VALUE",
cbc:ThresholdQuantity,1,QuantityType,,,A quantity beyond which an exception will be triggered.,
cbc:ExceptionStatusCode,0..1,CodeType,,,A code signifying status specific to a shipment exception.,
cbc:CollaborationPriorityCode,0..1,CodeType,,,"A collaboratively assigned code signifying priority of the Exception. Possible values are: HIGH, LOW, MEDIUM",
cbc:ExceptionResolutionCode,0..1,CodeType,,,"Coded representation of possible resolution methods"". Possible values are: DEFAULT_TO_AVERAGE_OF_COMPARED_VALUES DEFAULT_TO_BUYERS_VALUE DEFAULT_TO_HIGH_VALUE DEFAULT_TO_LOW_VALUE DEFAULT_TO_SELLERS_VALUE MANUAL_RESOLUTION MUTUALLY_DEFINED",
cbc:SupplyChainActivityTypeCode,0..1,CodeType,,,"Establishes the criterion for one of the three types of exceptions. There can be three types of exception criteria: Operational, Metric and Forecast Exceptions. This will be set if this Exception is about an Operational Exception. Description could be: A code used to identify an operational exception. Possible values are: CANCELED_ORDERS EMERGENCY_ORDERS ON_HAND ORDERS RECEIPTS SALES SHIPMENTS",
cbc:PerformanceMetricTypeCode,0..1,CodeType,,,A code signifying a measure of performance.,
cac:EffectivePeriod,0..1,,Period,,The period during which this exception criteria line is in effect.,
cac:SupplyItem,1..n,,Item,,The Trade Item that is the subject of the Exception Criterion.,
cac:ForecastExceptionCriterionLine,0..1,,ForecastExceptionCriterionLine,,"Establishes the criterion for one of the three types of exceptions. This class provides the criterion for the kind of forecast exception, the identification of the purpose of the forecast, the source of data and the time basis criterion for the exception.",
cac:ExceptionNotificationLine,,,,,A class to define a line in an Exception Notification.,
cbc:ID,1,IdentifierType,,,An identifier for this exception notification line.,
cbc:Note,0..n,TextType,,,Free-form text conveying information that is not contained explicitly in other structures.,
cbc:Description,0..n,TextType,,,Text describing the exception.,
cbc:ExceptionStatusCode,0..1,CodeType,,,A code signifying status specific to a shipment exception.,
cbc:CollaborationPriorityCode,0..1,CodeType,,,Priority of Exception.,
cbc:ResolutionCode,0..1,CodeType,,,"Coded representation of possible resolution methods"". Possible values are: DEFAULT_TO_AVERAGE_OF_COMPARED_VALUES DEFAULT_TO_BUYERS_VALUE DEFAULT_TO_HIGH_VALUE DEFAULT_TO_LOW_VALUE DEFAULT_TO_SELLERS_VALUE MANUAL_RESOLUTION MUTUALLY_DEFINED",
cbc:ComparedValueMeasure,1,MeasureType,,,The value that was compared with the source value that resulted in the exception,
cbc:SourceValueMeasure,1,MeasureType,,,The value used as the basis of comparison,
cbc:VarianceQuantity,0..1,QuantityType,,,The variance of a data item from an expected value during a particular time interval.,
cbc:SupplyChainActivityTypeCode,0..1,CodeType,,,"Establishes the criterion for one of the three types of exceptions: Operational, performance metric and forecast. This reports an exception notification about an operational exception. Description could be: A code used to identify an operational exception. Possible values are: CANCELED_ORDERS EMERGENCY_ORDERS ON_HAND ORDERS RECEIPTS SALES SHIPMENTS",
cbc:PerformanceMetricTypeCode,0..1,CodeType,,,A code used to identify a measure of performance. It defines the type of the Performance Metric on which an exception criteria is being defined,
cac:ExceptionObservationPeriod,0..1,,Period,,The period (start-end date) when this exception is observed,
cac:DocumentReference,0..n,,DocumentReference,,A reference to Exception Criteria document can be provided.,
cac:ForecastException,0..1,,ForecastException,,A forecast accuracy or comparison exception.,
cac:SupplyItem,1,,Item,,The product associated with this exception notification line.,
cac:ExchangeRate,,,,,A class to define an exchange rate.,
cbc:SourceCurrencyCode,1,CodeType,,,The reference currency for this exchange rate; the currency from which the exchange is being made.,EUR
cbc:SourceCurrencyBaseRate,0..1,RateType,,,"In the case of a source currency with denominations of small value, the unit base.",
cbc:TargetCurrencyCode,1,CodeType,,,The target currency for this exchange rate; the currency to which the exchange is being made.,JPY
cbc:TargetCurrencyBaseRate,0..1,RateType,,,"In the case of a target currency with denominations of small value, the unit base.",
cbc:ExchangeMarketID,0..1,IdentifierType,,,An identifier for the currency exchange market used as the source of this exchange rate.,
cbc:CalculationRate,0..1,RateType,,,The factor applied to the source currency to calculate the target currency.,
cbc:MathematicOperatorCode,0..1,CodeType,,,A code signifying whether the calculation rate is a multiplier or a divisor.,
cbc:Date,0..1,DateType,,,The date on which the exchange rate was established.,
cac:ForeignExchangeContract,0..1,,Contract,,A contract for foreign exchange.,
cac:ExternalReference,,,,,"A class to describe an external object, such as a document stored at a remote location.",
cbc:URI,0..1,IdentifierType,,,The Uniform Resource Identifier (URI) that identifies the external object as an Internet resource.,
cbc:DocumentHash,0..1,TextType,,,A hash value for the externally stored object.,
cbc:HashAlgorithmMethod,0..1,TextType,,,A hash algorithm used to calculate the hash value of the externally stored object.,
cbc:ExpiryDate,0..1,DateType,,,The date on which availability of the resource can no longer be relied upon.,
cbc:ExpiryTime,0..1,TimeType,,,The time after which availability of the resource can no longer be relied upon.,
cbc:MimeCode,0..1,CodeType,,,A code signifying the mime type of the external object.,
