SemSort	ID	Section	PINT Cardinality	Aligned	Aligned Cardinality	Level	BT	BT_ja	DT	Desc	Desc_ja			Example Value (___)	Synt Sort	element	UBLdatatype	UBL syntax binding XPath	selectors	Code list	UBL Occurrence	CardinalityAlignment		Aligned rule	Shared rule	Codelist rule	Pooled rule
															2440	cac:DeliveryLocation	cac:LocationType	/Invoice/cac:Delivery/cac:DeliveryLocation			0..1						
1980	ibt-071	Shared	0..1		0..1	2	Deliver to location identifier	___ID	Identifier	An identifier for the location at which the goods and services are delivered.	___________________ID_				2450	cbc:ID	udt:IdentifierType	/Invoice/cac:Delivery/cac:DeliveryLocation/cbc:ID			0..1						
1990	ibt-071-1	Shared	0..1		0..1	2	Scheme identifier	____ID	_	"The identification scheme identifier of the Deliver to location identifier. If used, the identification scheme shall be chosen from the entries of the list published by the ISO/IEC 6523 maintenance agency."	_______ID______________ID________________ISO/IEC 6523 _______________________________	"For example, 0147 Standard Company Code. Partner identification code which is registered with JIPDEC/ECPC. Issuing agency: JIPDEC, Japan. It consists of company identification number (6 digit) + sub-number (6 digit). Company identification number (6 digit) is issued by JIPDEC, on the other hand, sub-number (6 digit), which is for identifying branch or division inside company, is issued and managed by each company."	__________ISO/IEC 6523 ____________________		2460	@schemeID	xsd:normalizedString	/Invoice/cac:Delivery/cac:DeliveryLocation/cbc:ID/@schemeID		ICD	0..1						
2040	ibg-15	Shared	0..1		0..1	2	DELIVER TO ADDRESS	_____		A group of business terms providing information about the address to which goods and services invoiced were or are delivered.	_________________________________________				2470	cac:Address	cac:AddressType	/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address			0..1				"SHARED:
[ibr-57]-Each Deliver to address (ibg-15) MUST contain a Deliver to country code (ibt-8)."		
2050	ibt-075	Shared	0..1		0..1	3	Deliver to address line 1	______1	Text	The main address line in an address.	_____________			_____XX-X	2480	cbc:StreetName	udt:NameType	/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:StreetName			0..1						
2060	ibt-076	Shared	0..1		0..1	3	Deliver to address line 2	______2	Text	An additional address line in an address that can be used to give further details supplementing the main line.	____________________________________			___3__	2490	cbc:AdditionalStreetName	udt:NameType	/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:AdditionalStreetName			0..1						
2080	ibt-077	Shared	0..1		0..1	3	Deliver to city	_____ ____	Text	"The common name of the city, town or village, where the deliver to address is located."	_________________			___	2500	cbc:CityName	udt:NameType	/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:CityName			0..1						
2090	ibt-078	Shared	0..1		0..1	3	Deliver to post code	_______	Text	The identifier for an addressable group of properties according to the relevant postal service.	____________			001-00xx	2510	cbc:PostalZone	udt:TextType	/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:PostalZone			0..1						
2100	ibt-079	Shared	0..1		0..1	3	Deliver to country subdivision	_____ ____	Text	The subdivision of a country.	____________		____________	___	2520	cbc:CountrySubentity	udt:TextType	/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:CountrySubentity			0..1						
															2530	cac:AddressLine	cac:AddressLineType	/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cac:AddressLine			0..n	CAR-3					
2070	ibt-165	Shared	0..1		0..1	3	Deliver to address line 3	______3	Text	An additional address line in an address that can be used to give further details supplementing the main line.	_______________________________________				2540	cbc:Line	udt:TextType	/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cac:AddressLine/cbc:Line			1..1	CAR-3	CAR-3		[ibr-sr-56]-The Delivery Postal Address Line (ibt-165) MUST occur maximum once.		
															2550	cac:Country	cac:CountryType	/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cac:Country			0..1	CAR-2			NOBU:may needs rule for request mandatory attribute		
2110	ibt-080	Shared	1..1		1..1	3	Deliver to country code	_______	Code	A code that identifies the country.	____________		ISO 3166_____________2_______	JP	2560	cbc:IdentificationCode	udt:CodeType	/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cac:Country/cbc:IdentificationCode		ISO3166	0..1	CAR-2	CAR-2		"SHARED:
[ibr-57]-Each Deliver to address (ibg-15) MUST contain a Deliver to country code (ibt-8)."	"CODELIST:
[ibr-cl-14]-Country codes in an invoice MUST be coded using ISO code list 3166-1"	
															2570	cac:DeliveryParty	cac:PartyType	/Invoice/cac:Delivery/cac:DeliveryParty			0..1						
															2580	cac:PartyName	cac:PartyNameType	/Invoice/cac:Delivery/cac:DeliveryParty/cac:PartyName			0..n	CAR-3					
1970	ibt-070	Shared	0..1		0..1	2	Deliver to party name	_____	Text	The name of the party to which the goods and services are delivered.	____________________			____ ____ ____	2590	cbc:Name	udt:NameType	/Invoice/cac:Delivery/cac:DeliveryParty/cac:PartyName/cbc:Name			1..1	CAR-3	CAR-3		"SHARED:
[ibr-18]-Deliver to party name (ibt-7) MUST occur maximum once."		
2125	ibg-16	Aligned	0..n		0..n	1	PAYMENT INSTRUCTIONS	____		A group of business terms providing information about the payment.	________________________________				2600	cac:PaymentMeans	cac:PaymentMeansType	/Invoice/cac:PaymentMeans			0..n			[aligned-ibrp-49]-A Payment instruction (ibg-16) MUST specify the Payment means type code (ibt-81).	"SHARED:
[ibr-49]-A Payment instruction (ibg-16) MUSTspecify the Payment means type code (ibt-81)."		"POOLED:
[aligned-ibrp-49]-A Payment instruction (ibg-16) MUST specify the Payment means type code (ibt-81)."
2130	ibt-178	Aligned	0..1		0..1	2	Payment Instructions ID	____ID	Identifier	An identifier for the payment instructions.	________________ID_				2610	cbc:ID	udt:IdentifierType	/Invoice/cac:PaymentMeans/cbc:ID			0..1						
2140	ibt-081	Aligned	1..1		1..1	2	Payment means type code	__________	Code	"The means, expressed as code, for how a payment is expected to be or has been settled."	___________________			3	2620	cbc:PaymentMeansCode	udt:CodeType	/Invoice/cac:PaymentMeans/cbc:PaymentMeansCode		UNCL4461	1..1				"SHARED:
[ibr-49]-A Payment instruction (ibg-16) MUSTspecify the Payment means type code (ibt-81)."	"CODELIST:
[ibr-cl-16]-Payment means in an invoice MUST be coded using UNCL4461 code list"	
2150	ibt-082	Shared	0..1		0..1	2	Payment means text	________	Text	A textual description of the means/methods by which the payment is expected to be or has been settled.	________________			Credit transfer	2630	@name	xsd:string	/Invoice/cac:PaymentMeans/cbc:PaymentMeansCode/@name			0..1						
2160	ibt-083	Aligned	0..n		0..n	2	Remittance information	____	Text	A textual value used for payment routing or to establish a link between the payment and the Invoice.	_________________________			Snippet1	2640	cbc:PaymentID	udt:IdentifierType	/Invoice/cac:PaymentMeans/cbc:PaymentID			0..n			[aligned-ibrp-14]-Remittance information (ibt-83) MUST occur maximum once.			"POOLED:
[aligned-ibrp-14]-Remittance information (ibt-83) MUST occur maximum once."
2170	ibt-083-1	Aligned	0..1		0..1	3	Scheme identifier	____ID	Code	The identification of the identification scheme. As example ABA	____ID_____ABA_				2650	@schemeID	xsd:normalizedString	/Invoice/cac:PaymentMeans/cbc:PaymentID/@schemeID			0..1						
2310	ibg-18	Shared	0..1		0..1	2	PAYMENT CARD INFORMATION	_______		A group of business terms providing information about card used for payment contemporaneous with invoice issuance.	___________________________________________		_________________________________________________		2660	cac:CardAccount	cac:CardAccountType	/Invoice/cac:PaymentMeans/cac:CardAccount			0..1			[aligned-ibrp-17]-The last 4 to 6 digits of the Payment card primary account number (ibt-87) MUST be present if Payment card information (ibg-18) is provided in the Invoice.	"SHARED:
[ibr-66]-An Invoice MUST contain maximum one Payment Card account (ibg-18)."		"POOLED:
[aligned-ibrp-17]-The last 4 to 6 digits of the Payment card primary account number (ibt-87) MUST be present if Payment card information (ibg-18) is provided in the Invoice."
2320	ibt-087	Shared	1..1		1..1	3	Payment card primary account number	_______	Text	The Primary Account Number (PAN) of the card used for payment.	___________________		________________________________________________PCI Security Standards Council _____6_____4__________________		2670	cbc:PrimaryAccountNumberID	udt:IdentifierType	/Invoice/cac:PaymentMeans/cac:CardAccount/cbc:PrimaryAccountNumberID			1..1						
															2680	cbc:NetworkID	udt:IdentifierType	/Invoice/cac:PaymentMeans/cac:CardAccount/cbc:NetworkID			1..1						
2330	ibt-088	Shared	0..1		0..1	3	Payment card holder name	________	Text	The name of the payment card holder.	____________				2690	cbc:HolderName	udt:NameType	/Invoice/cac:PaymentMeans/cac:CardAccount/cbc:HolderName			0..1						
2180	ibg-17	Aligned	0..1		0..1	2	CREDIT TRANSFER	____		A group of business terms to specify credit transfer payments.	_________________________________				2700	cac:PayeeFinancialAccount	cac:FinancialAccountType	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount			0..1			[aligned-ibrp-16]-A Payment account identifier (ibt-84) MUST be present if Credit transfer (ibg-17) information is provided in the invoice.			"POOLED:
[aligned-ibrp-16]-A Payment account identifier (ibt-84) MUST be present if Credit transfer (ibg-17) information is provided in the invoice."
2190	ibt-084	Shared	1..1		1..1	3	Payment account identifier	_____ID	Identifier	"A unique identifier of the financial payment account, at a payment service provider, to which payment should be made."	_____________ID_IBAN(SEPA______)___			1234121123456780 	2710	cbc:ID	udt:IdentifierType	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cbc:ID			0..1	CAR-2	CAR-2		NOBU:may needs rule for request mandatory attribute		
2200	ibt-084-1	Aligned	0..1		0..1	3	Scheme identifier	____ID	Code	The identification of the identification scheme. As example IBAN	__ID______________ID_____IBAN_				2720	@schemeID	xsd:normalizedString	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cbc:ID/@schemeID			0..1						
2210	ibt-085	Shared	0..1		0..1	3	Payment account name	_________	Text	"The name of the payment account, at a payment service provider, to which payment should be made."	_____________			_)_________	2730	cbc:Name	udt:NameType	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cbc:Name			0..1						
															2740	cac:FinancialInstitutionBranch	cac:BranchType	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch			0..1						
2220	ibt-086	Shared	0..1		0..1	3	Payment service provider identifier	_______ID	Identifier	An identifier for the payment service provider where a payment account is located.	____________ID_				2750	cbc:ID	udt:IdentifierType	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cbc:ID			0..1						
2230	ibg-34	0	0..1		0..1	2	FINANCIAL INSTITUTION ADDRESS	__		The address of the financial institution or its branch that holds the payment account.	______________________________________				2760	cac:Address	cac:AddressType	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cac:Address			0..1						
2240	ibt-169	Aligned	0..1		0..1	3	Account address line 1	________1	Text	The main address line in an address.	_______________				2770	cbc:StreetName	udt:NameType	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cac:Address/cbc:StreetName			0..1						
2250	ibt-170	Aligned	0..1		0..1	3	Account address line 2	________2	Text	An additional address line in an address that can be used to give further details supplementing the main line.	______________________________________				2780	cbc:AdditionalStreetName	udt:NameType	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cac:Address/cbc:AdditionalStreetName			0..1						
2260	ibt-171	Aligned	0..1		0..1	3	Account city	_______ ____	Text	"The common name of the city, town or village, where the account address is located."	_________________________________________				2790	cbc:CityName	udt:NameType	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cac:Address/cbc:CityName			0..1						
2270	ibt-172	Aligned	0..1		0..1	3	Account post code	_________	Text	The identifier for an addressable group of properties according to the relevant postal service.	___________________				2800	cbc:PostalZone	udt:TextType	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cac:Address/cbc:PostalZone			0..1						
2280	ibt-173	Aligned	0..1		0..1	3	Account country subdivision	_______ ____	Text	The subdivision of a country.	______________				2810	cbc:CountrySubentity	udt:TextType	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cac:Address/cbc:CountrySubentity			0..1						
															2820	cac:AddressLine	cac:AddressLineType	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cac:Address/cac:AddressLine			0..n						
2290	ibt-174	Aligned	0..1		0..1	3	Account address line 3	________3	Text	An additional address line in an address that can be used to give further details supplementing the main line.	______________		____________		2830	cbc:Line	xsd:string	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cac:Address/cac:AddressLine/cbc:Line			1..1	CAR-3	CAR-3		NOBU: may need rule for restrict maximum once.		
															2840	cac:Country	cac:CountryType	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cac:Address/cac:Country			0..1						
2300	ibt-175	Aligned	0..1		0..1	3	Account country code	_________	Code	A code that identifies the country.	______________		ISO 3166_____________2_______		2850	cbc:IdentificationCode	udt:CodeType	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cac:Address/cac:Country/cbc:IdentificationCode		ISO3166	0..1						
2340	ibg-19	Aligned	0..1		0..1	2	DIRECT DEBIT	______		A group of business terms to specify a direct debit.	____________________________________				2860	cac:PaymentMandate	cac:PaymentManudt:DateType	/Invoice/cac:PaymentMeans/cac:PaymentMandate			0..1				"SHARED:
[ibr-67]-An Invoice MUST contain maximum one Payment Mandate (ibg-19)."		
2350	ibt-089	Shared	0..1		0..1	3	Mandate reference identifier	_________ID	Identifier	Unique identifier assigned by the Payee for referencing the direct debit mandate.	______________________________ID_		__________________SEPA___________________(___)_____________ID_		2870	cbc:ID	udt:IdentifierType	/Invoice/cac:PaymentMeans/cac:PaymentMandate/cbc:ID			0..1			[aligned-ibrp-19]-Mandate reference (ibt-89) MUST be provided for direct debit.			"POOLED:
[aligned-ibrp-19]-Mandate reference (ibt-89) MUST be provided for direct debit."
															2880	cac:PayerFinancialAccount	cac:FinancialAccountType	/Invoice/cac:PaymentMeans/cac:PaymentMandate/cac:PayerFinancialAccount			0..1						
2370	ibt-091	Shared	0..1		0..1	3	Debited account identifier	______ID	Identifier	The account to be debited by the direct debit.	_______________________ID_				2890	cbc:ID	udt:IdentifierType	/Invoice/cac:PaymentMeans/cac:PaymentMandate/cac:PayerFinancialAccount/cbc:ID			0..1						
1215	ibg-33	Aligned	0..n		0..n	1	INVOICE TERMS	____		Information about the terms that apply to the settlement of the invoice amount.	______________________				2900	cac:PaymentTerms	cac:PaymentTermsType	/Invoice/cac:PaymentTerms			0..n						
1220	ibt-187	Aligned	0..1		0..1	2	Terms payment instructions ID	______ID	Identifier	The payment instructions that apply to these payment terms.	__________________				2910	cbc:PaymentMeansID	udt:IdentifierType	/Invoice/cac:PaymentTerms/cbc:PaymentMeansID			0..n	CAR-3	CAR-3				
1230	ibt-020	Shared	0..1		0..1	2	Payment terms	____	Text	A textual description of the payment terms that apply to the amount due for payment (Including description of possible penalties).	________________(________)______________	"Common description in English 
PIA - Payment in advance 
Net 30 - Payment 30 days after invoice date 
EOM - End of month 
21 MFI - 21st of the month following invoice date 
1% 10 Net 30 - 1% discount if payment received within ten days otherwise payment 30 days after invoice date 
COD - Cash on delivery 
1MD - Monthly credit payment of a full month's supply 
etc.  source: https://examples.yourdictionary.com/payment-terms-examples.html 
The information to show ""Who bears bank charge"" can be also putas textual payment terms. nobu"	"________ PIA, Net 30,EOM,21 MFI,1% 10 Net 30,COD,1MD,etc. 
________________________________________________"		2920	cbc:Note	udt:TextType	/Invoice/cac:PaymentTerms/cbc:Note			0..n	CAR-3	CAR-3	[aligned-ibrp-8]-Payment terms (ibt-2) MUST occur maximum once.			"POOLED:
[aligned-ibrp-8]-Payment terms (ibt-2) MUST occur maximum once."
1240	ibt-176	Aligned	0..1		0..1	2	Terms amount	______	Amount	The payment amount that these terms apply to.	_________________				2930	cbc:Amount	udt:AmountType	/Invoice/cac:PaymentTerms/cbc:Amount			0..1						
1250	ibt-177	Aligned	0..1		0..1	2	Terms installment due date	________	Date	The date before end of which the terms amount shall be settled.	______________	The date is described in the Christian era and is YYYY-MM-DD. 	___________YYYY-MM-DD ____		2940	cbc:InstallmentDueDate	udt:DateType	/Invoice/cac:PaymentTerms/cbc:InstallmentDueDate			0..1						
2380	ibg-35	Aligned	0..n		0..n	1	Paid amounts	_____		Breakdown of the paid amount deducted from the amount due.	_____________________________				2950	cac:PrepaidPayment	cac:PaymentType	/Invoice/cac:PrepaidPayment			0..n						
2390	ibt-179	Aligned	0..1		0..1	2	Payment identifier	__ID	Identifier	"An identifier that references the payment, such as bank transfer identifier."	_____ID__________ID				2960	cbc:ID	udt:IdentifierType	/Invoice/cac:PrepaidPayment/cbc:ID			0..1						
2400	ibt-180	Aligned	0..1	Aligned	1..1	2	Paid amount	_____	Amount	The amount of the payment in the invoice currency.	_____________		_________		2970	cbc:PaidAmount	udt:AmountType	/Invoice/cac:PrepaidPayment/cbc:PaidAmount			0..1	CAR-2	CAR-2		"SHARED:
[ibr-93]-If there is a paid amount (ibt-18) then total paid amount (ibt-113) MUST exist.
NOBU:If this is conditional, this is optional. Restricted cardinality shall 0..1"		"POOLED:
[aligned-ibrp-7]-The sum of paid amounts (ibt-18) MUST equal the total prepaid amount (ibt-113)."
2410	ibt-181	Aligned	0..1		0..1	2	The date when the paid amount is debited to the invoice.	__________________	Date	The date when the prepaid amount was received by the seller.	_______________	The date is described in the Christian era and is YYYY-MM-DD. 	___________YYYY-MM-DD ____		2980	cbc:ReceivedDate	udt:DateType	/Invoice/cac:PrepaidPayment/cbc:ReceivedDate			0..1						
2420	ibt-182	Aligned	0..1		0..1	2	Payment type	_____	Code	The type of the the payment.	________				2990	cbc:InstructionID	udt:IdentifierType	/Invoice/cac:PrepaidPayment/cbc:InstructionID			0..1						
2430	ibg-20	Shared	0..n		0..n	1	DOCUMENT LEVEL ALLOWANCES	_________		A group of business terms providing information about allowances applicable to the Invoice as a whole.	________________________________				3000	cac:AllowanceCharge	cac:AllowanceChargeType	/Invoice/cac:AllowanceCharge[cbc:ChargeIndicator=false()]	cbc:ChargeIndicator = false		0..n			"[aligned-ibrp-32jp]-Each Document level allowance (ibg-2) MUST have a Document level allowance tax category code (ibt-95) and Document level allowance tax rate (ibt-96)..
[aligned-ibrp-e-1]-An Invoice that contains an Invoice line (ibg-25), a Document level allowance (ibg-2) or a Document level charge (ibg-21) where the tax category code (ibt-151, ibt-95 or ibt-12) is ""Exempt from tax"" MUST contain exactly one tax breakdown (ibg-23) with the tax category code (ibt-118) equal to ""Exempt from tax"".
[aligned-ibrp-e-6]-In a Document level allowance (ibg-2) where the Document level allowance tax category code (ibt-95) is ""Exempt from tax"", the Document level allowance tax rate (ibt-96) MUST be  (zero).
[aligned-ibrp-g-1]-An Invoice that contains an Invoice line (ibg-25), a Document level allowance (ibg-2) or a Document level charge (ibg-21) where the tax category code (ibt-151, ibt-95 or ibt-12) is ""Export"" MUST contain in the tax breakdown (ibg-23) exactly one tax category code (ibt-118) equal with ""Export"".
[aligned-ibrp-g-6]-In a Document level allowance (ibg-2) where the Document level allowance tax category code (ibt-95) is ""Export"" the Document level allowance tax rate (ibt-96) MUST be  (zero).
[aligned-ibrp-o-1]-An Invoice that contains an Invoice line (ibg-25), a Document level allowance (ibg-2) or a Document level charge (ibg-21) where the tax category code (ibt-151, ibt-95 or ibt-12) is ""Not subject to tax"" MUST contain exactly one tax breakdown group (ibg-23) with the tax category code (ibt-118) equal to ""Not subject to tax"".
[aligned-ibrp-o-6]-A Document level allowance (ibg-2) where tax category code (ibt-95) is ""Not subject to tax"" MUST not contain a Document level allowance tax rate (ibt-96)."	"SHARED:
[ibr-31]-Each Document level allowance (ibg-2) MUST have a Document level allowance amount (ibt-92).
[ibr-33]-Each Document level allowance (ibg-2) MUST have a Document level allowance reason (ibt-97) or a Document level allowance reason code (ibt-98)."		"POOLED:
[aligned-ibrp-32]-Each Document level allowance (ibg-2) MUST have a Document level allowance tax category code (ibt-95).
[aligned-ibrp-ae-1]-An Invoice that contains an Invoice line (ibg-25), a Document level allowance (ibg-2) or a Document level charge (ibg-21) where the tax category code (ibt-151, ibt-95 or ibt-12) is ""Reverse charge"" MUST contain in the tax Breakdown (ibg-23) exactly one tax category code (ibt-118) equal with ""Tax reverse charge"".
[aligned-ibrp-ae-3]-An Invoice that contains a Document level allowance (ibg-2) where the Document level allowance tax category code (ibt-95) is ""Reverse charge"" MUST contain the Seller tax Identifier (ibt-31), the Seller tax registration identifier (ibt-32) and/or the Seller tax representative tax identifier (ibt-63) and the Buyer tax identifier (ibt-48) and/or the Buyer legal registration identifier (ibt-47).
[aligned-ibrp-ae-6]-In a Document level allowance (ibg-2) where the Document level allowance tax category code (ibt-95) is ""Reverse charge"" the Document level allowance tax rate (ibt-96) MUST be greater than zero.
[aligned-ibrp-e-1]-An Invoice that contains an Invoice line (ibg-25), a Document level allowance (ibg-2) or a Document level charge (ibg-21) where the tax category code (ibt-151, ibt-95 or ibt-12) is ""Exempt from tax"" MUST contain exactly one tax breakdown (ibg-23) with the tax category code (ibt-118) equal to ""Exempt from tax"".
[aligned-ibrp-e-3]-An Invoice that contains a Document level allowance (ibg-2) where the Document level allowance tax category code (ibt-95) is ""Exempt from tax"" MUST contain the Seller tax Identifier (ibt-31), the Seller tax registration identifier (ibt-32) and/or the Seller tax representative tax identifier (ibt-63).
[aligned-ibrp-e-6]-In a Document level allowance (ibg-2) where the Document level allowance tax category code (ibt-95) is ""Exempt from tax"", the Document level allowance tax rate (ibt-96) MUST be  (zero).
[aligned-ibrp-g-1]-An Invoice that contains an Invoice line (ibg-25), a Document level allowance (ibg-2) or a Document level charge (ibg-21) where the tax category code (ibt-151, ibt-95 or ibt-12) is ""Export"" MUST contain in the tax breakdown (ibg-23) exactly one tax category code (ibt-118) equal with ""Export"".
[aligned-ibrp-g-3]-An Invoice that contains a Document level allowance (ibg-2) where the Document level allowance tax category code (ibt-95) is ""Export"" MUST contain the Seller tax Identifier (ibt-31) or the Seller tax representative tax identifier (ibt-63).
[aligned-ibrp-g-6]-In a Document level allowance (ibg-2) where the Document level allowance tax category code (ibt-95) is ""Export"" the Document level allowance tax rate (ibt-96) MUST be  (zero).
[aligned-ibrp-ic-1]-An Invoice that contains an Invoice line (ibg-25), a Document level allowance (ibg-2) or a Document level charge (ibg-21) where the tax category code (ibt-151, BT-95 or BT-12) is ""Intra-community supply"" MUST contain in the tax breakdown (ibg-23) exactly one tax category code (ibt-118) equal with ""Intra-community supply"".
[aligned-ibrp-ic-3]-An Invoice that contains a Document level allowance (ibg-2) where the Document level allowance tax category code (ibt-95) is ""Intra-community supply"" MUST contain the Seller tax Identifier (ibt-31) or the Seller tax representative tax identifier (ibt-63) and the Buyer tax identifier (ibt-48).
[aligned-ibrp-ic-6]-In a Document level allowance (ibg-2) where the Document level allowance tax category code (ibt-95) is ""Intra-community supply"" the Document level allowance tax rate (ibt-96) MUST be  (zero).
[aligned-ibrp-o-1]-An Invoice that contains an Invoice line (ibg-25), a Document level allowance (ibg-2) or a Document level charge (ibg-21) where the tax category code (ibt-151, ibt-95 or ibt-12) is ""Not subject to tax"" MUST contain exactly one tax breakdown group (ibg-23) with the tax category code (ibt-118) equal to ""Not subject to tax"".
[aligned-ibrp-o-3]-An Invoice that contains a Document level allowance (ibg-2) where the Document level allowance tax category code (ibt-95) is ""Not subject to tax"" MUST not contain the Seller tax identifier (ibt-31), the Seller tax representative tax identifier (ibt-63) or the Buyer tax identifier (ibt-48).
[aligned-ibrp-o-6]-A Document level allowance (ibg-2) where tax category code (ibt-95) is ""Not subject to tax"" MUST not contain a Document level allowance tax rate (ibt-96).
[aligned-ibrp-o-13]-An Invoice that contains a tax breakdown group (ibg-23) with a tax category code (ibt-118) ""Not subject to tax"" MUST not contain Document level allowances (ibg-2) where Document level allowance tax category code (ibt-95) is not ""Not subject to tax"".
[aligned-ibrp-s-1]-An Invoice that contains an Invoice line (ibg-25), a Document level allowance (ibg-2) or a Document level charge (ibg-21) where the tax category code (ibt-151, ibt-95 or ibt-12) is ""Standard rated"" MUST contain in the tax breakdown (ibg-23) at least one tax category code (ibt-118) equal with ""Standard rated"".
[aligned-ibrp-s-3]-An Invoice that contains a Document level allowance (ibg-2) where the Document level allowance tax category code (ibt-95) is ""Standard rated"" MUST contain the Seller tax Identifier (ibt-31), the Seller tax registration identifier (ibt-32) and/or the Seller tax representative tax identifier (ibt-63).
[aligned-ibrp-s-6]-In a Document level allowance (ibg-2) where the Document level allowance tax category code (ibt-95) is ""Standard rated"" the Document level allowance tax rate (ibt-96) MUST be greater than zero.
[aligned-ibrp-z-1]-An Invoice that contains an Invoice line (ibg-25), a Document level allowance (ibg-2) or a Document level charge (ibg-21) where the tax category code (ibt-151, ibt-95 or ibt-12) is ""Zero rated"" MUST contain in the tax breakdown (ibg-23) exactly one tax category code (ibt-118) equal with ""Zero rated"".
[aligned-ibrp-z-3]-An Invoice that contains a Document level allowance (ibg-2) where the Document level allowance tax category code (ibt-95) is ""Zero rated"" MUST contain the Seller tax Identifier (ibt-31), the Seller tax registration identifier (ibt-32) and/or the Seller tax representative tax identifier (ibt-63).
[aligned-ibrp-z-6]-In a Document level allowance (ibg-2) where the Document level allowance tax category code (ibt-95) is ""Zero rated"" the Document level allowance tax rate (ibt-96) MUST be  (zero)."
															3010	cbc:ChargeIndicator	udt:IndicatorType	/Invoice/cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cbc:ChargeIndicator			1..1						
2480	ibt-098	Shared	0..1		0..1	2	Document level allowance reason code	_______________	Code	"The reason for the document level allowance, expressed as a code."	________________				3020	cbc:AllowanceChargeReasonCode	udt:CodeType	/Invoice/cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cbc:AllowanceChargeReasonCode		UNCL5189	0..1				"SHARED:
[ibr-33]-Each Document level allowance (ibg-2) MUST have a Document level allowance reason (ibt-97) or a Document level allowance reason code (ibt-98)."	"CODELIST:
[ibr-cl-19]-Coded allowance reasons MUST belong to the UNCL 5189 code list
[ibr-cl-2]-Coded charge reasons MUST belong to the UNCL 7161 code list"	
2470	ibt-097	Shared	0..1		0..1	2	Document level allowance reason	____________	Text	"The reason for the document level allowance, expressed as text."	_____________________				3030	cbc:AllowanceChargeReason	udt:TextType	/Invoice/cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cbc:AllowanceChargeReason			0..n	CAR-3	CAR-3		"SHARED:
[ibr-33]-Each Document level allowance (ibg-2) MUST have a Document level allowance reason (ibt-97) or a Document level allowance reason code (ibt-98)."		
2460	ibt-094	Shared	0..1		0..1	2	Document level allowance percentage	___________	Percentage	"The percentage that may be used, in conjunction with the document level allowance base amount, to calculate the document level allowance amount."	_______________________________________________				3040	cbc:MultiplierFactorNumeric	udt:NumericType	/Invoice/cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cbc:MultiplierFactorNumeric			0..1						
2440	ibt-092	Shared	1..1		1..1	2	Document level allowance amount	___________(___)	Amount	"The amount of an allowance, without TAX."	____(___)_			300	3050	cbc:Amount	udt:AmountType	/Invoice/cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cbc:Amount			1..1				"SHARED:
[ibr-31]-Each Document level allowance (ibg-2) MUST have a Document level allowance amount (ibt-92).
[ibr-co-11]-Sum of allowances on document level (ibt-17) = Σ Document level allowance amount (ibt-92)."	"CODELIST:
[ibr-cl-3]-currencyID MUST be coded using ISO code list 4217 alpha-3."	
															3060	@currencyID	xsd:normalizedString	/Invoice/cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cbc:Amount/@currencyID			1..1						
